original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9899,Adult Acute Monoblastic and Monocytic Leukemia,0.8854,Acute Monoblastic Leukemia,0.8757,Childhood Acute Monoblastic and Monocytic Leukemia,0.8322,Acute Monocytic Leukemia,0.8252,Adult Acute Monoblastic Leukemia,0.8050,Acute Myelomonocytic Leukemia,0.7919,Childhood Acute Monoblastic Leukemia,0.7691,Acute Myeloid Leukemia with Maturation,0.7675,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7586,Adult Acute Monocytic Leukemia,0.7551,Acute Megakaryoblastic Leukemia,0.7543,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7508,Aleukemic Myeloid Leukemia,0.7486,Acute Myeloid Leukemia,0.7461,Adult Acute Myelomonocytic Leukemia,0.7345,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7341,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.7289,Childhood Acute Monocytic Leukemia,0.7288,Acute Myeloid Leukemia without Maturation,0.7227,ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,True,True,True
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,1,2,Acute Monoblastic and Monocytic Leukemia,0.9765,Acute Monoblastic Leukemia,0.9081,Adult Acute Monoblastic and Monocytic Leukemia,0.8805,Acute Monocytic Leukemia,0.8642,Adult Acute Monoblastic Leukemia,0.8397,Childhood Acute Monoblastic and Monocytic Leukemia,0.8263,Acute Myelomonocytic Leukemia,0.8243,Childhood Acute Monoblastic Leukemia,0.7986,Acute Myeloid Leukemia with Maturation,0.7983,Adult Acute Monocytic Leukemia,0.7913,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7845,Acute Megakaryoblastic Leukemia,0.7762,Acute Myeloid Leukemia with Minimal Differentiation,0.7758,Adult Acute Myelomonocytic Leukemia,0.7691,Acute Myeloid Leukemia without Maturation,0.7673,Acute Myeloid Leukemia,0.7645,Childhood Acute Monocytic Leukemia,0.7634,Acute Myeloid Leukemia with Multilineage Dysplasia,0.7531,Aleukemic Myeloid Leukemia,0.7492,Adult Acute Megakaryoblastic Leukemia,0.7460,ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,True,True,True
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9069,Acute Monocytic Leukemia,0.8732,Acute Myelomonocytic Leukemia,0.8586,Acute Megakaryoblastic Leukemia,0.8429,Myeloid Leukemia,0.8264,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8249,Acute Monoblastic Leukemia,0.8122,Acute Monoblastic and Monocytic Leukemia,0.8098,Acute Myeloid Leukemia with Maturation,0.8091,Acute Leukemia,0.8041,Childhood Acute Megakaryoblastic Leukemia,0.7827,Aleukemic Myeloid Leukemia,0.7810,Childhood Acute Monocytic Leukemia,0.7736,Adult Acute Megakaryoblastic Leukemia,0.7716,Acute Myeloid Leukemia without Maturation,0.7700,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7692,Childhood Acute Myeloid Leukemia,0.7645,Adult Acute Monocytic Leukemia,0.7589,Adult Acute Myeloid Leukemia,0.7585,Childhood Acute Myelomonocytic Leukemia,0.7549,ACUTE MYELOBLASTIC LEUKEMIA,True,True,True
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,1,2,Recurrent Acute Myeloid Leukemia,0.8141,Recurrent Acute Monocytic Leukemia,0.7991,Recurrent Acute Monoblastic and Monocytic Leukemia,0.7893,Recurrent Acute Myeloid Leukemia Not Otherwise Specified,0.7859,Recurrent Acute Myelomonocytic Leukemia,0.7850,Recurrent Myeloid Leukemia,0.7654,"Recurrent Acute Myeloid Leukemia, Myelodysplasia-Related",0.7612,Recurrent Acute Leukemia,0.7540,Recurrent Adult Acute Myeloid Leukemia,0.7511,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0.7307,Recurrent Acute Megakaryoblastic Leukemia,0.7239,Recurrent Childhood Acute Myeloid Leukemia,0.7024,Recurrent Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6984,Recurrent Acute Undifferentiated Leukemia,0.6784,Recurrent Acute Biphenotypic Leukemia,0.6757,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6659,Recurrent Acute Lymphoblastic Leukemia,0.6634,Recurrent Myeloid Neoplasm,0.6622,Recurrent Leukemia,0.6617,Recurrent Acute Erythroid Leukemia,0.6611,"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",True,True,True
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9379,Acute Monocytic Leukemia,0.8556,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8467,Acute Myelomonocytic Leukemia,0.8323,Myeloid Leukemia,0.8297,Acute Leukemia,0.8258,Adult Acute Myeloid Leukemia,0.8195,Aleukemic Myeloid Leukemia,0.8050,Acute Megakaryoblastic Leukemia,0.7915,Adult Acute Monocytic Leukemia,0.7852,Acute Myeloid Leukemia with Maturation,0.7672,Adult Acute Myelomonocytic Leukemia,0.7650,Adult Acute Megakaryoblastic Leukemia,0.7643,Childhood Acute Myeloid Leukemia,0.7588,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7572,Acute Monoblastic and Monocytic Leukemia,0.7500,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.7496,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7481,Acute Erythroid Leukemia,0.7447,Acute Myeloid Leukemia without Maturation,0.7423,ACUTE MYELOGENOUS LEUKEMIA AML,True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,1,2,Acute Myeloid Leukemia with Maturation,0.6748,Acute Myelomonocytic Leukemia,0.6713,Acute Myeloid Leukemia with Minimal Differentiation,0.6693,Acute Monoblastic and Monocytic Leukemia,0.6487,Acute Myeloid Leukemia without Maturation,0.6432,Acute Monocytic Leukemia,0.6423,Acute Megakaryoblastic Leukemia,0.6341,Acute Myeloid Leukemia,0.6332,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6317,Adult Acute Myelomonocytic Leukemia,0.6273,Adult Acute Megakaryoblastic Leukemia,0.6218,Adult Acute Myeloid Leukemia with Maturation,0.6207,Secondary Acute Myeloid Leukemia,0.6206,Adult Acute Myeloid Leukemia with Minimal Differentiation,0.6162,Acute Myeloid Leukemia with NPM1-MLF1,0.6129,Aleukemic Myeloid Leukemia,0.6114,Acute Monoblastic Leukemia,0.6101,Adult Acute Monoblastic and Monocytic Leukemia,0.6028,Adult Acute Monocytic Leukemia,0.5998,Acute Myeloid Leukemia with MECOM Rearrangement,0.5974,"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,5,2,Typical Acute Promyelocytic Leukemia,0.7225,Acute Myeloid Leukemia with NPM1-MLF1,0.6875,Acute Myelomonocytic Leukemia,0.6714,Acute Promyelocytic Leukemia with STAT3-RARA,0.6709,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,0.6578,Microgranular Acute Promyelocytic Leukemia,0.6537,Acute Promyelocytic Leukemia with t(11;17)(q23;q21); ZBTB16-RARA,0.6485,Acute Promyelocytic Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.6475,Acute Promyelocytic Leukemia with t(5;17)(q35;q21); NPM1-RARA,0.6475,Acute Myeloid Leukemia with NPM1 Mutation,0.6399,Acute Myeloid Leukemia,0.6392,Acute Monocytic Leukemia,0.6359,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.6294,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.6258,Acute Myeloid Leukemia with Maturation,0.6256,Acute Promyelocytic Leukemia with FIP1L1-RARA,0.6228,Acute Promyelocytic Leukemia with t(1;17)(q42.3;q21.2); IRF2BP2-RARA,0.6175,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.6156,Acute Megakaryoblastic Leukemia,0.6150,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6129,"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",False,False,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,1,2,Acute Myelomonocytic Leukemia,0.7949,Adult Acute Myelomonocytic Leukemia,0.7494,Acute Myeloid Leukemia with NPM1-MLF1,0.6992,Acute Monoblastic and Monocytic Leukemia,0.6956,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6950,Acute Myeloid Leukemia with Maturation,0.6930,Childhood Acute Myelomonocytic Leukemia,0.6862,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.6822,Acute Monocytic Leukemia,0.6816,Acute Myeloid Leukemia with Multilineage Dysplasia,0.6650,Adult Acute Monoblastic and Monocytic Leukemia,0.6643,Acute Megakaryoblastic Leukemia,0.6607,Acute Myeloid Leukemia with MECOM Rearrangement,0.6589,Adult Acute Monocytic Leukemia,0.6577,Adult Acute Megakaryoblastic Leukemia,0.6528,Myelodysplastic Chronic Myelomonocytic Leukemia,0.6517,Acute Monoblastic Leukemia,0.6433,Chronic Myelomonocytic Leukemia,0.6419,Adult Acute Myeloid Leukemia with Maturation,0.6412,Acute Myeloid Leukemia,0.6410,"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,8,2,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.8089,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7150,Chronic Myelomonocytic Leukemia with Eosinophilia,0.7104,Acute Eosinophilic Leukemia,0.6828,Acute Myelomonocytic Leukemia,0.6596,Acute Myeloid Leukemia with EZH2 Mutation,0.6502,Acute Megakaryoblastic Leukemia,0.6418,Acute Monoblastic and Monocytic Leukemia,0.6324,Acute Myeloid Leukemia with MECOM Rearrangement,0.6303,Acute Monocytic Leukemia,0.6240,Acute Erythroid Leukemia,0.6183,Chronic Myelomonocytic Leukemia with Eosinophilia Associated with t(5;12)(q31;p12),0.6135,Acute Myeloid Leukemia with RUNX1 Mutation,0.5986,Childhood Acute Eosinophilic Leukemia,0.5981,Acute Myeloid Leukemia,0.5976,Adult Acute Eosinophilic Leukemia,0.5965,Adult Acute Myelomonocytic Leukemia,0.5932,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.5912,Childhood Acute Megakaryoblastic Leukemia,0.5910,Childhood Acute Myelomonocytic Leukemia,0.5909,"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",False,False,False
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,3,2,Acute Myelomonocytic Leukemia,0.7882,Acute Monocytic Leukemia,0.7767,Acute Monoblastic and Monocytic Leukemia,0.7473,Acute Myeloid Leukemia with Maturation,0.7182,Acute Myeloid Leukemia,0.7181,Adult Acute Myelomonocytic Leukemia,0.7156,Childhood Acute Myelomonocytic Leukemia,0.7131,Acute Megakaryoblastic Leukemia,0.7056,Adult Acute Monocytic Leukemia,0.6997,Childhood Acute Monocytic Leukemia,0.6988,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6988,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.6930,Acute Monoblastic Leukemia,0.6854,Adult Acute Monoblastic and Monocytic Leukemia,0.6854,Childhood Acute Megakaryoblastic Leukemia,0.6734,Acute Myeloid Leukemia with NPM1-MLF1,0.6717,Aleukemic Myeloid Leukemia,0.6684,Adult Acute Megakaryoblastic Leukemia,0.6684,Childhood Acute Monoblastic and Monocytic Leukemia,0.6643,Acute Myeloid Leukemia with MECOM Rearrangement,0.6623,"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",False,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.7126,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.6957,Adult Acute Erythroid Leukemia,0.6821,Acute Myelomonocytic Leukemia,0.6781,Aleukemic Myeloid Leukemia,0.6761,Adult Erythroleukemia,0.6745,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6718,Adult Acute Megakaryoblastic Leukemia,0.6643,Acute Monocytic Leukemia,0.6640,Acute Megakaryoblastic Leukemia,0.6617,Acute Myeloid Leukemia,0.6537,Adult Pure Erythroid Leukemia,0.6479,Childhood Acute Erythroid Leukemia,0.6454,Adult Acute Myelomonocytic Leukemia,0.6452,Pure Erythroid Leukemia,0.6376,Acute Myeloid Leukemia with del(7q),0.6359,Adult Acute Monocytic Leukemia,0.6349,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.6311,Acute Monoblastic and Monocytic Leukemia,0.6283,Acute Myeloid Leukemia with EZH2 Mutation,0.6213,"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",True,True,True
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,1,2,Acute Megakaryoblastic Leukemia,0.7789,Acute Myelomonocytic Leukemia,0.7443,Adult Acute Megakaryoblastic Leukemia,0.7282,Childhood Acute Megakaryoblastic Leukemia,0.7092,Acute Myeloid Leukemia with del(7q),0.6786,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6690,Acute Monocytic Leukemia,0.6644,Acute Myelomonocytic Leukemia with Abnormal Eosinophils,0.6591,Adult Acute Myelomonocytic Leukemia,0.6555,Aleukemic Myeloid Leukemia,0.6553,Acute Myeloid Leukemia,0.6530,Acute Myeloid Leukemia with NPM1-MLF1,0.6524,Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1,0.6519,"Mixed Phenotype Acute Leukemia, T/Megakaryocytic",0.6463,Childhood Acute Myeloid Leukemia with Abnormalities of Chromosome 7,0.6406,Acute Monoblastic and Monocytic Leukemia,0.6375,Childhood Acute Myelomonocytic Leukemia,0.6357,Acute Megakaryoblastic Leukemia with CBFA2T3-GLIS2,0.6326,Acute Myeloid Leukemia with i(17q),0.6314,Acute Myeloid Leukemia with NPM1 Mutation,0.6299,"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",True,True,True
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,2,2,Acute Myelomonocytic Leukemia,0.7586,Acute Monoblastic and Monocytic Leukemia,0.7317,Acute Monocytic Leukemia,0.7305,Acute Myeloid Leukemia,0.7256,Acute Monoblastic Leukemia,0.7243,Acute Myeloid Leukemia with Maturation,0.7161,Childhood Acute Myelomonocytic Leukemia,0.7004,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6997,Adult Acute Myelomonocytic Leukemia,0.6985,Acute Megakaryoblastic Leukemia,0.6923,Adult Acute Monoblastic Leukemia,0.6813,Childhood Acute Monoblastic Leukemia,0.6791,Childhood Acute Monocytic Leukemia,0.6767,Adult Acute Monocytic Leukemia,0.6764,Acute Myeloid Leukemia with NPM1-MLF1,0.6740,Aleukemic Myeloid Leukemia,0.6740,Childhood Acute Megakaryoblastic Leukemia,0.6738,Myeloid Leukemia,0.6727,Childhood Acute Monoblastic and Monocytic Leukemia,0.6709,Adult Acute Monoblastic and Monocytic Leukemia,0.6706,ACUTE MYELOGENOUS LEUKEMIA M5A,False,True,True
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,2,2,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7318,Acute Myeloid Leukemia,0.7037,Acute Leukemia,0.6745,Myeloid Neoplasm,0.6399,Myeloid Leukemia,0.6384,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.6351,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.6215,Acute Biphenotypic Leukemia,0.6195,Secondary Acute Myeloid Leukemia,0.6161,Acute Myeloid Leukemia Arising from Previous Myeloproliferative Neoplasm,0.6146,Acute Monocytic Leukemia,0.6142,Acute Myeloid Leukemia with Complex Karyotype,0.6139,Acute Myeloid Leukemia with NPM1-MLF1,0.6136,Acute Monoblastic and Monocytic Leukemia,0.6086,Acute Erythroid Leukemia,0.6084,Acute Myeloid Leukemia Arising from Previous Myelodysplastic/Myeloproliferative Neoplasm,0.6061,Acute Promyelocytic Leukemia with t(11;17)(q13;q21); NUMA1-RARA,0.6008,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.5976,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.5976,Typical Acute Promyelocytic Leukemia,0.5957,ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,False,True,True
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.7573,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7555,Acute Leukemia,0.7204,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6892,Acute Myeloid Leukemia with Complex Karyotype,0.6849,Alkylating Agent-Related Acute Myeloid Leukemia,0.6841,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.6819,Adult Acute Myeloid Leukemia,0.6784,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.6733,Alkylating Agent-Related Acute Myeloid Leukemia and Myelodysplastic Syndrome,0.6689,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.6670,Acute Leukemia of Ambiguous Lineage,0.6666,"Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified",0.6658,Acute Myeloid Leukemia Arising from Previous Myelodysplastic/Myeloproliferative Neoplasm,0.6648,Acute Monoblastic and Monocytic Leukemia,0.6609,Acute Myeloid Leukemia Arising from Previous Myeloproliferative Neoplasm,0.6604,Secondary Acute Myeloid Leukemia,0.6576,Acute Monocytic Leukemia,0.6572,Myeloid Leukemia,0.6563,Acute Myeloid Leukemia with NPM1-MLF1,0.6548,ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,True,True,True
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.9347,"Acute Myeloid Leukemia, Not Otherwise Specified",0.9028,Myeloid Leukemia,0.8462,Acute Leukemia,0.8388,Acute Monocytic Leukemia,0.8386,Acute Myelomonocytic Leukemia,0.7842,Aleukemic Myeloid Leukemia,0.7811,Adult Acute Myeloid Leukemia,0.7731,Acute Myeloid Leukemia with Maturation,0.7670,Childhood Acute Myeloid Leukemia,0.7635,Acute Megakaryoblastic Leukemia,0.7572,Secondary Acute Myeloid Leukemia,0.7557,Acute Monoblastic and Monocytic Leukemia,0.7551,Acute Undifferentiated Leukemia,0.7528,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7521,Acute Monoblastic Leukemia,0.7428,Acute Myeloid Leukemia without Maturation,0.7410,Childhood Acute Monocytic Leukemia,0.7380,Adult Acute Monocytic Leukemia,0.7344,Childhood Acute Myeloid Leukemia Not Otherwise Specified,0.7306,"ACUTE MYELOID LEUKAEMIA, NOS",True,True,True
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,1.0000,Acute Leukemia,0.9133,Myeloid Leukemia,0.9007,"Acute Myeloid Leukemia, Not Otherwise Specified",0.8953,Acute Monocytic Leukemia,0.8795,Adult Acute Myeloid Leukemia,0.8373,Acute Myelomonocytic Leukemia,0.8158,Aleukemic Myeloid Leukemia,0.8037,Childhood Acute Myeloid Leukemia,0.8032,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7944,Acute Undifferentiated Leukemia,0.7926,Secondary Acute Myeloid Leukemia,0.7920,Acute Megakaryoblastic Leukemia,0.7897,Acute Erythroid Leukemia,0.7866,Adult Acute Monocytic Leukemia,0.7808,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.7751,Acute Myeloid Leukemia with Maturation,0.7717,Acute Myeloid Leukemia without Maturation,0.7669,Childhood Acute Monocytic Leukemia,0.7630,Acute Lymphoblastic Leukemia,0.7605,ACUTE MYELOID LEUKEMIA,True,True,True
ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,Acute Myeloid Leukemia with Multilineage Dysplasia,1,2,Acute Myeloid Leukemia with Multilineage Dysplasia,1.0000,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.8076,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.7926,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.7743,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.7739,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.7672,Acute Myeloid Leukemia with Minimal Differentiation,0.7630,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.7606,Acute Monoblastic and Monocytic Leukemia,0.7592,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",0.7588,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0.7518,Acute Myeloid Leukemia with Maturation,0.7474,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.7245,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.7026,Acute Myeloid Leukemia with MECOM Rearrangement,0.6989,Acute Myelomonocytic Leukemia,0.6954,Acute Monoblastic Leukemia,0.6949,Adult Acute Monoblastic and Monocytic Leukemia,0.6941,Adult Acute Myeloid Leukemia with Minimal Differentiation,0.6937,Myelodysplastic Chronic Myelomonocytic Leukemia,0.6914,ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA,True,True,True
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",Acute Myeloid Leukemia with Multilineage Dysplasia,2,2,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0.7068,Acute Myeloid Leukemia with Multilineage Dysplasia,0.6780,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.6659,Acute Myeloid Leukemia without Maturation,0.6622,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.6579,"Refractory Acute Myeloid Leukemia, Myelodysplasia-Related",0.6547,Acute Myeloid Leukemia with Minimal Differentiation,0.6471,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.6430,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0.6425,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.6415,"Recurrent Acute Myeloid Leukemia, Myelodysplasia-Related",0.6357,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.6280,Refractory Acute Myelomonocytic Leukemia,0.6279,Refractory Acute Myeloid Leukemia Not Otherwise Specified,0.6269,Refractory Acute Monoblastic and Monocytic Leukemia,0.6113,Adult Acute Myeloid Leukemia without Maturation,0.6052,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.6051,Acute Myeloid Leukemia with MECOM Rearrangement,0.6010,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.6009,Acute Myeloid Leukemia with Maturation,0.5991,"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION",False,True,True
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,"Acute Myeloid Leukemia, Myelodysplasia-Related",1,2,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.9037,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8900,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8877,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8574,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8190,Acute Myeloid Leukemia with Multilineage Dysplasia,0.8153,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.8119,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.7898,"Recurrent Acute Myeloid Leukemia, Myelodysplasia-Related",0.7633,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.7486,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,0.7348,Acute Myeloid Leukemia with Minimal Differentiation,0.7322,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0.7285,"Refractory Acute Myeloid Leukemia, Myelodysplasia-Related",0.7267,Acute Myeloid Leukemia with MECOM Rearrangement,0.7248,Myelodysplastic Syndrome with Genetic Abnormalities,0.7237,Alkylating Agent-Related Acute Myeloid Leukemia and Myelodysplastic Syndrome,0.7151,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Mutated TP53,0.7108,Acute Myeloid Leukemia with a Variant MECOM Rearrangement,0.7034,Acute Myeloid Leukemia,0.6935,ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,True,True,True
