original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
ADENOCARCINOMA- MAMMARY GLAND,Breast Adenocarcinoma,1,2,Breast Adenocarcinoma,0.8664,Advanced Breast Adenocarcinoma,0.7769,Breast Carcinoma,0.7722,Salivary Gland Adenocarcinoma,0.7651,Major Salivary Gland Adenocarcinoma,0.7494,True,True,True
ADENOCARCINOMA- NOS,Adenocarcinoma,1,2,Adenocarcinoma,0.9242,Advanced Adenocarcinoma,0.8031,Carcinoma,0.8010,Carcinoma Unspecified Site,0.7922,Mucin-Producing Adenocarcinoma,0.7697,True,True,True
ADENOCARCINOMA- PROSTATE,Prostate Adenocarcinoma,1,2,Prostate Adenocarcinoma,0.9633,Prostate Carcinoma,0.8871,Poorly Differentiated Prostate Adenocarcinoma,0.8512,Advanced Prostate Adenocarcinoma,0.8449,Malignant Prostate Neoplasm,0.8391,True,True,True
ADENOCARCINOMA-MAMMARY GLAND,Breast Adenocarcinoma,1,2,Breast Adenocarcinoma,0.8664,Advanced Breast Adenocarcinoma,0.7769,Breast Carcinoma,0.7722,Salivary Gland Adenocarcinoma,0.7651,Major Salivary Gland Adenocarcinoma,0.7494,True,True,True
ADENOCARINOMA,Adenocarcinoma,99,2,Adenosarcoma,0.7867,Adenoid Cystic Carcinoma,0.7546,Adenomyoma,0.7434,Cervical Adenosarcoma,0.7352,Cylindrocarcinoma,0.7172,False,False,False
ADENOID CYSTIC BREAST CANCER,Breast Adenoid Cystic Carcinoma,1,2,Breast Adenoid Cystic Carcinoma,0.9657,Adenoid Cystic Carcinoma,0.8890,Cervical Adenoid Cystic Carcinoma,0.8419,Advanced Adenoid Cystic Carcinoma,0.8078,Bartholin Gland Adenoid Cystic Carcinoma,0.8051,True,True,True
ADENOID CYSTIC CARCINOMA,Adenoid Cystic Carcinoma,1,2,Adenoid Cystic Carcinoma,1.0000,Cervical Adenoid Cystic Carcinoma,0.9202,Advanced Adenoid Cystic Carcinoma,0.9187,Lung Adenoid Cystic Carcinoma,0.8841,Salivary Gland Adenoid Cystic Carcinoma,0.8837,True,True,True
ADENOID CYSTIC CARCINOMA OF THE LUNG,Lung Adenoid Cystic Carcinoma,1,2,Lung Adenoid Cystic Carcinoma,0.9703,Adenoid Cystic Carcinoma,0.8829,Laryngeal Adenoid Cystic Carcinoma,0.8299,Tracheal Adenoid Cystic Carcinoma,0.8292,Advanced Adenoid Cystic Carcinoma,0.8234,True,True,True
ADENOSARCOMA,Adenosarcoma,1,2,Adenosarcoma,1.0000,Cervical Adenosarcoma,0.8341,Ovarian Adenosarcoma,0.8121,Broad Ligament Adenosarcoma,0.7758,Angiosarcoma,0.7638,True,True,True
ADENOSQUAMOUS,Adenosquamous Carcinoma,1,2,Adenosquamous Carcinoma,0.8726,Endometrial Adenosquamous Carcinoma,0.7812,Cervical Adenosquamous Carcinoma,0.7791,Lung Adenosquamous Carcinoma,0.7768,Skin Adenosquamous Carcinoma,0.7698,True,True,True
ADENOSQUAMOUS CARCINOMA,Adenosquamous Carcinoma,1,2,Adenosquamous Carcinoma,1.0000,Lung Adenosquamous Carcinoma,0.9060,Skin Adenosquamous Carcinoma,0.8872,Endometrial Adenosquamous Carcinoma,0.8725,Cervical Adenosquamous Carcinoma,0.8714,True,True,True
ADENOSQUAMOUS CARCINOMA OF GALLBLADDER,Gallbladder Adenosquamous Carcinoma,1,2,Gallbladder Adenosquamous Carcinoma,0.9801,Gallbladder Squamous Cell Carcinoma,0.8497,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8315,Gallbladder Goblet Cell Adenocarcinoma,0.7977,Gastric Adenosquamous Carcinoma,0.7845,True,True,True
ADENOSQUAMOUS CARCINOMA OF THE GALLBLADDER,Gallbladder Adenosquamous Carcinoma,1,2,Gallbladder Adenosquamous Carcinoma,0.9660,Gallbladder Squamous Cell Carcinoma,0.8451,Gallbladder Adenocarcinoma with Squamous Metaplasia,0.8250,Gallbladder Goblet Cell Adenocarcinoma,0.7981,Gastric Adenosquamous Carcinoma,0.7828,True,True,True
ADENOSQUAMOUS CARCINOMA OF THE PANCREAS,Pancreatic Adenosquamous Carcinoma,1,2,Pancreatic Adenosquamous Carcinoma,0.9564,Advanced Pancreatic Adenosquamous Carcinoma,0.8974,Metastatic Pancreatic Adenosquamous Carcinoma,0.8676,Pancreatic Squamous Cell Carcinoma,0.7804,Resectable Pancreatic Adenosquamous Carcinoma,0.7730,True,True,True
ADENOSQUAMOUS CARCINOMA OF THE STOMACH,Gastric Adenosquamous Carcinoma,1,2,Gastric Adenosquamous Carcinoma,0.9445,Adenosquamous Carcinoma,0.7759,Gastric Squamous Cell Carcinoma,0.7706,Tongue Adenosquamous Carcinoma,0.7617,Salivary Gland Adenosquamous Carcinoma,0.7561,True,True,True
ADRENAL TUMOR,Adrenal Gland Neoplasm,1,2,Adrenal Gland Neoplasm,0.9316,Adrenal Cortical Neoplasm,0.8620,Adrenal Rest Tumor,0.8026,Adrenal Medulla Neoplasm,0.7965,Adrenal Gland Lymphoma,0.7821,True,True,True
ADRENOCORTICAL ADENOMA,Adrenal Cortical Adenoma,1,2,Adrenal Cortical Adenoma,0.9046,Adrenal Cortical Adenomatoid Tumor,0.8417,Aldosterone-Producing Adrenal Cortical Adenoma,0.8081,Androgen-Producing Adrenal Cortical Adenoma,0.8078,Adrenal Cortical Oncocytic Adenoma,0.7702,True,True,True
ADRENOCORTICAL CARCINOMA,Adrenal Cortical Carcinoma,1,2,Adrenal Cortical Carcinoma,0.9037,Advanced Adrenal Cortical Carcinoma,0.8379,Malignant Adrenal Cortical Neoplasm,0.8115,Metastatic Adrenal Cortical Carcinoma,0.8101,Adrenal Cortical Neoplasm,0.8089,True,True,True
ADRENOCORTICAL CARCINOMA- MYXOID TYPE,Adrenal Cortical Myxoid Carcinoma,1,2,Adrenal Cortical Myxoid Carcinoma,0.9142,Adrenal Cortical Oncocytic Carcinoma,0.7245,Adrenal Cortical Mixed Cell Adenoma,0.7225,Adrenal Cortical Sarcomatoid Carcinoma,0.6981,Adrenal Cortical Melanoma,0.6895,True,True,True
ADRENOCORTICAL CARCINOMA- ONCOCYTIC TYPE,Adrenal Cortical Oncocytic Carcinoma,1,2,Adrenal Cortical Oncocytic Carcinoma,0.9260,Adrenal Cortical Oncocytic Adenoma,0.8748,Thyroid Gland Oncocytic Carcinoma,0.8388,Oncocytic Adenocarcinoma,0.8279,Oncocytic Adenoma,0.7949,True,True,True
ADRENOCORTICAL CARCINOMA- USUAL TYPE,Adrenal Cortical Carcinoma,2,2,Adrenal Cortical Low Grade Carcinoma,0.7408,Adrenal Cortical Carcinoma,0.7339,Adrenal Cortical Myxoid Carcinoma,0.7200,Adrenal Cortical Adenomatoid Tumor,0.7082,Adrenal Cortical Oncocytic Carcinoma,0.6939,False,True,True
ADULT T-CELL LEUKEMIA/LYMPHOMA,Adult T-Cell Leukemia/Lymphoma,1,2,Adult T-Cell Leukemia/Lymphoma,1.0000,Acute Adult T-Cell Leukemia/Lymphoma,0.9562,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0.9488,Chronic Adult T-Cell Leukemia/Lymphoma,0.9345,Cutaneous Adult T-Cell Leukemia/Lymphoma,0.9085,True,True,True
ADULT_T_CELL_LYMPHOMA-LEUKAEMIA,Adult T-Cell Leukemia/Lymphoma,1,2,Adult T-Cell Leukemia/Lymphoma,0.9275,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0.9116,Acute Adult T-Cell Leukemia/Lymphoma,0.8942,Adult T Lymphoblastic Lymphoma,0.8808,Chronic Adult T-Cell Leukemia/Lymphoma,0.8434,True,True,True
AGGRESSIVE DIGITAL PAPILLARY ADENOCARCINOMA,Digital Papillary Adenocarcinoma,1,2,Digital Papillary Adenocarcinoma,0.9268,Papillary Adenocarcinoma,0.7756,Aggressive Papillary Tumor,0.7652,"Prostate Ductal Adenocarcinoma, Papillary Pattern",0.7283,Gastric Papillary Adenocarcinoma,0.7180,True,True,True
ALL,Acute Lymphoblastic Leukemia,2,2,Leukemia,0.7117,Acute Lymphoblastic Leukemia,0.7044,Common Acute Lymphoblastic Leukemia,0.6964,Lymphoid Leukemia,0.6883,Lymphoblastic Lymphoma,0.6854,False,True,True
ALVEOLAR RHABDOMYOSARCOMA,Alveolar Rhabdomyosarcoma,1,2,Alveolar Rhabdomyosarcoma,1.0000,Conventional Alveolar Rhabdomyosarcoma,0.9418,Solid Alveolar Rhabdomyosarcoma,0.9225,Childhood Alveolar Rhabdomyosarcoma,0.9129,Prostate Alveolar Rhabdomyosarcoma,0.8442,True,True,True
ALVEOLAR SOFT PART SARCOMA,Alveolar Soft Part Sarcoma,1,2,Alveolar Soft Part Sarcoma,1.0000,Localized Alveolar Soft Part Sarcoma,0.9254,Adult Alveolar Soft Part Sarcoma,0.9186,Advanced Alveolar Soft Part Sarcoma,0.9088,Metastatic Alveolar Soft Part Sarcoma,0.8944,True,True,True
AMELANOTIC,Amelanotic Melanoma,1,2,Amelanotic Melanoma,0.8347,Amelanotic Cutaneous Melanoma,0.7819,Ameloblastoma,0.7538,Benign Ameloblastoma,0.7360,Acanthomatous Ameloblastoma,0.7354,True,True,True
AMELANOTIC NODULAR,Cutaneous Nodular Melanoma,99,2,Amelanotic Melanoma,0.8204,Amelanotic Cutaneous Melanoma,0.7843,Acanthomatous Ameloblastoma,0.7482,Nodular Melanoma,0.7377,Ameloblastoma,0.7332,False,False,False
AML,Acute Myeloid Leukemia,1,2,Acute Myeloid Leukemia,0.7853,Myeloid Leukemia,0.7779,Acute Leukemia,0.7737,Acute Monocytic Leukemia,0.7586,Leukemia,0.7382,True,True,True
AML WITH BIALLELIC MUTATIONS OF CEBPA,Acute Myeloid Leukemia with Biallelic Mutations of CEBPA,99,2,Acute Myeloid Leukemia with Biallelic CEBPA Mutation,0.9482,Acute Myeloid Leukemia with Monoallelic CEBPA Mutation,0.8472,Acute Myeloid Leukemia with CEBPA Mutation,0.8097,Acute Myeloid Leukemia with Germline CEBPA Mutation,0.7575,Acute Myeloid Leukemia with In-Frame bZIP CEBPA Mutation,0.7267,False,False,False
AML WITH INV(16)(P13.1Q22) OR T(16;16)(P13.1;Q22); CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,1,2,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.9521,Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.9131,Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.9069,Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8464,Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8439,True,True,True
AML WITH INV(3)(Q21Q26.2) OR T(3;3)(Q21;Q26.2); RPN1-EVI1,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",1,2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.7966,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.7622,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.7614,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.7385,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.7163,True,True,True
AML WITH INV16P13.1;Q22 OR T16:16P13.1:Q22;  CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,1,2,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.8870,Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8612,Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8357,Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8116,Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.7976,True,True,True
AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22; CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,1,2,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.8989,Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8698,Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8559,Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8258,Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8187,True,True,True
AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22;CBFB-MYH11,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,1,2,Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,0.8989,Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8698,Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8559,Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11,0.8258,Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11,0.8187,True,True,True
"AML WITH INV3Q21.3;Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",99,2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.9210,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.9022,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.8903,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.8032,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.7932,False,False,False
"AML WITH INV3Q21.3Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",99,2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.9216,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.9116,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.8985,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.8079,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.7990,False,False,False
AML WITH INV3Q21;Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",99,2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.7752,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.7478,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.7406,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.7193,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.6963,False,False,False
AML WITH INV3Q21Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",99,2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.7672,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM",0.7456,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.7419,"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM",0.7195,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.6967,False,False,False
AML WITH MATURATION,Acute Myeloid Leukemia with Maturation,1,2,Acute Myeloid Leukemia with Maturation,0.9068,Adult Acute Myeloid Leukemia with Maturation,0.8303,Childhood Acute Myeloid Leukemia with Maturation,0.8295,Acute Myeloid Leukemia without Maturation,0.8137,Childhood Acute Myeloid Leukemia without Maturation,0.7585,True,True,True
AML WITH MINIMAL DIFFERENTIATION,Acute Myeloid Leukemia with Minimal Differentiation,1,2,Acute Myeloid Leukemia with Minimal Differentiation,0.9100,Adult Acute Myeloid Leukemia with Minimal Differentiation,0.8095,Childhood Acute Myeloid Leukemia with Minimal Differentiation,0.7953,Acute Myeloid Leukemia without Maturation,0.7558,Acute Myeloid Leukemia with Maturation,0.7140,True,True,True
AML WITH MUTATED CEBPA,Acute Myeloid Leukemia with Mutated CEBPA,99,2,Acute Myeloid Leukemia with CEBPA Mutation,0.9215,Acute Myeloid Leukemia with Monoallelic CEBPA Mutation,0.8296,Acute Myeloid Leukemia with In-Frame bZIP CEBPA Mutation,0.8189,Acute Myeloid Leukemia with Biallelic CEBPA Mutation,0.7854,Acute Myeloid Leukemia with Germline CEBPA Mutation,0.7789,False,False,False
AML WITH MUTATED NPM1,Acute Myeloid Leukemia with Mutated NPM1,99,2,Acute Myeloid Leukemia with NPM1 Mutation,0.9218,Acute Myeloid Leukemia with NPM1-MLF1,0.8582,Acute Myeloid Leukemia with Mutated TP53,0.7280,Myeloid Neoplasm with Mutated TP53,0.7057,Acute Myeloid Leukemia with RUNX1 Mutation,0.6833,False,False,False
AML WITH MUTATED RUNX1,Acute Myeloid Leukemia with Mutated RUNX1,99,2,Acute Myeloid Leukemia with RUNX1 Mutation,0.9224,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.7417,Acute Myeloid Leukemia with CEBPA Mutation,0.7285,Acute Myeloid Leukemia with MECOM Rearrangement,0.7230,Acute Myeloid Leukemia with EZH2 Mutation,0.7123,False,False,False
AML WITH MYELODYSPLASIA-RELATED CHANGES,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,99,2,"Acute Myeloid Leukemia, Myelodysplasia-Related",0.8444,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8261,Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8207,Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities,0.8168,Myelodysplastic Syndrome/Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations,0.8065,False,False,False
AML WITH RECURRENT GENETIC ABNORMALITIES,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,1,2,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.9058,Recurrent Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.8940,Adult Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0.8220,Recurrent Acute Myeloid Leukemia,0.8052,Recurrent Acute Leukemia,0.7749,True,True,True
AML WITH T(6;9)(P23;Q34); DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,1,2,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,0.9487,Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6,0.6753,Acute Myeloid Leukemia with t(6;11)(q27;q23.3); MLLT4-KMT2A,0.6720,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6619,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.6532,True,True,True
AML WITH T(8;21)(Q22;Q22); RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,1,2,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.9559,Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.8482,Childhood Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.8248,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.8029,Acute Myeloid Leukemia with t(4;11)(q21.3;q23.3); AFF1-KMT2A,0.7458,True,True,True
AML WITH T(9;11)(P22;Q23); MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,1,2,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.8842,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.3); KMT2A-MLLT1,0.8175,Acute Myeloid Leukemia with t(10;11)(p12.3;q23.3); MLLT10-KMT2A,0.8007,Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.7984,Acute Myeloid Leukemia with t(10;11)(q21.3;q23.3); TET1-KMT2A,0.7610,True,True,True
AML WITH T6:9P23:Q34.1; DEK-NUP214,Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214,99,2,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,0.8620,Childhood Acute Megakaryoblastic Leukemia with NUP98-KDM5A,0.6447,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6397,Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1,0.6293,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.6241,False,False,False
AML WITH T6;9P23;Q34.1;DEK-NUP214,Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214,99,2,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,0.8562,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6491,Childhood Acute Megakaryoblastic Leukemia with NUP98-KDM5A,0.6445,Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6,0.6356,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.6351,False,False,False
AML WITH T6;9P23;Q34; DEK-NUP214,Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214,99,2,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,0.8411,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6350,Childhood Acute Megakaryoblastic Leukemia with NUP98-KDM5A,0.6303,Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6,0.6145,Acute Myeloid Leukemia with t(3;12)(q26.2;p13.2); ETV6-MECOM,0.6074,False,False,False
AML WITH T8;21Q22;Q22.1; RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,99,2,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.8286,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.7438,Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7389,Childhood Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7153,Acute Myeloid Leukemia with t(10;11)(q21.3;q23.3); TET1-KMT2A,0.7149,False,False,False
AML WITH T8;21Q22;Q22.1;RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,99,2,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.8286,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.7438,Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7389,Childhood Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7153,Acute Myeloid Leukemia with t(10;11)(q21.3;q23.3); TET1-KMT2A,0.7149,False,False,False
AML WITH T8;21Q22;Q22; RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,99,2,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,0.8215,Acute Myeloid Leukemia with t(3;21)(q26.2;q22.1); MECOM-RUNX1,0.7394,Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7312,Acute Myeloid Leukemia with t(10;11)(q21.3;q23.3); TET1-KMT2A,0.7113,Childhood Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1,0.7101,False,False,False
AML WITH T9;11P22;Q23;  MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,99,2,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.8633,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.3); KMT2A-MLLT1,0.8118,Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.7831,Acute Myeloid Leukemia with t(10;11)(p12.3;q23.3); MLLT10-KMT2A,0.7783,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.1); KMT2A-ELL,0.7568,False,False,False
AML WITH T9;11P22;Q23; MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,99,2,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.8633,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.3); KMT2A-MLLT1,0.8118,Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.7831,Acute Myeloid Leukemia with t(10;11)(p12.3;q23.3); MLLT10-KMT2A,0.7783,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.1); KMT2A-ELL,0.7568,False,False,False
AML WITHOUT MATURATION,Acute Myeloid Leukemia without Maturation,1,2,Acute Myeloid Leukemia without Maturation,0.8943,Acute Myeloid Leukemia with Maturation,0.8311,Adult Acute Myeloid Leukemia without Maturation,0.8250,Childhood Acute Myeloid Leukemia without Maturation,0.8249,Adult Acute Myeloid Leukemia with Maturation,0.7756,True,True,True
"AML, NOS",Acute Myeloid Leukemia Not Otherwise Specified,99,2,"Acute Myeloid Leukemia, Not Otherwise Specified",0.7757,Acute Myeloid Leukemia,0.7498,Myeloid Leukemia,0.7338,Acute Monocytic Leukemia,0.7297,Myeloid Neoplasm,0.7169,False,False,False
AMLM,Acute Myeloid Leukemia,2,2,Acute Myeloid Leukemia with MECOM Rearrangement,0.6732,Acute Myeloid Leukemia,0.6561,Acute Monocytic Leukemia,0.6536,Acute Myeloid Leukemia with Maturation,0.6525,Myeloid Leukemia,0.6459,False,True,True
AMPULLARY CANCER,Ampulla of Vater Carcinoma,1,2,Ampulla of Vater Carcinoma,0.8228,Ampulla of Vater Neoplasm,0.8023,Ampulla of Vater Adenocarcinoma,0.7896,Ampulla of Vater Undifferentiated Carcinoma,0.7895,Malignant Ampulla of Vater Neoplasm,0.7729,True,True,True
