"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"SMALL CELL LUNG CANCER","Lung Small Cell Carcinoma","NCIT:C4917","NCIT",NA,NA,NA
"SCLC","Lung Small Cell Carcinoma","NCIT:C4917","NCIT",NA,NA,NA
"SMALL CELL LUNG CANCER SCLC","Lung Small Cell Carcinoma","NCIT:C4917","NCIT",NA,NA,NA
"LUNG_SMALL_CELL","Lung Small Cell Carcinoma","NCIT:C4917","NCIT",NA,NA,NA
"SMALL CELL BRONCHIOALVEOLAR CARCINOMA","Lung Small Cell Carcinoma","NCIT:C4917","NCIT",NA,NA,NA
"SELLAR TUMOR","Sellar Region Neoplasm","NCIT:C4944","NCIT",NA,NA,NA
"HURTHLE","Thyroid Gland Oncocytic Carcinoma","NCIT:C4946","NCIT",NA,NA,NA
"HURTHLE CELL THYROID CANCER","Thyroid Gland Oncocytic Carcinoma","NCIT:C4946","NCIT",NA,NA,NA
"DESMOPLASTIC/NODULAR MEDULLOBLASTOMA","Desmoplastic/Nodular Medulloblastoma","NCIT:C4956","NCIT",NA,NA,NA
"SECOND MALIGNANCY","Secondary Malignant Neoplasm","NCIT:C4968","NCIT",NA,NA,NA
"NERVE SHEATH TUMOR","Nerve Sheath Neoplasm","NCIT:C4972","NCIT",NA,NA,NA
"COLORECTAL ADENOCARCINOMA","Colorectal Adenocarcinoma","NCIT:C5105","NCIT",NA,NA,NA
"COLORECTAL_ADENOCARCINOMA","Colorectal Adenocarcinoma","NCIT:C5105","NCIT",NA,NA,NA
"ADENOID CYSTIC BREAST CANCER","Breast Adenoid Cystic Carcinoma","NCIT:C5130","NCIT",NA,NA,NA
"BREAST MIXED DUCTAL AND LOBULAR CARCINOMA","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"DUCTAL AND LOBULAR FEATURES","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"LOBULAR CARCINOMA WITH DUCTAL FEATURES","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"DUCTAL AND LOBULAR","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"MIXED INFILTRATING LOBULAR AND GRADE 1 DUCTAL CARCINOMA","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"LOBULAR/DUCTAL","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"INFILTRATING DUCTAL & LOBULAR","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"DUCTAL/LOBULAR","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"WITH DUCTAL AND LOBULAR PHENOTYPES","Breast Mixed Ductal and Lobular Carcinoma","NCIT:C5160","NCIT",NA,NA,NA
"METAPLASTIC BREAST CANCER","Breast Metaplastic Carcinoma","NCIT:C5164","NCIT",NA,NA,NA
"METAPLASTIC_BREAST_CARCINOMA","Breast Metaplastic Carcinoma","NCIT:C5164","NCIT",NA,NA,NA
"BREAST ANGIOSARCOMA","Breast Angiosarcoma","NCIT:C5184","NCIT",NA,NA,NA
"BENIGN PHYLLODES TUMOR OF THE BREAST","Benign Breast Phyllodes Tumor","NCIT:C5196","NCIT",NA,NA,NA
"BENIGN PT","Benign Breast Phyllodes Tumor","NCIT:C5196","NCIT",NA,NA,NA
"ADENOCARCINOMA- MAMMARY GLAND","Breast Adenocarcinoma","NCIT:C5214","NCIT",NA,NA,NA
"ADENOCARCINOMA-MAMMARY GLAND","Breast Adenocarcinoma","NCIT:C5214","NCIT",NA,NA,NA
"BREAST_ADENOCARCINOMA","Breast Adenocarcinoma","NCIT:C5214","NCIT",NA,NA,NA
"SEROUS BORDERLINE OVARIAN TUMOR","Borderline Ovarian Serous Tumor","NCIT:C5226","NCIT",NA,NA,NA
"MUCINOUS STOMACH ADENOCARCINOMA","Gastric Mucinous Adenocarcinoma","NCIT:C5248","NCIT",NA,NA,NA
"MUCINOUS COLLOID ADENOCARCINOMA","Gastric Mucinous Adenocarcinoma","NCIT:C5248","NCIT",NA,NA,NA
"STOMACH, INTESTINAL ADENOCARCINOMA, MUCINOUS TYPE","Gastric Mucinous Adenocarcinoma","NCIT:C5248","NCIT",NA,NA,NA
"SIGNET RING CELL CARCINOMA OF THE STOMACH","Gastric Signet Ring Cell Adenocarcinoma","NCIT:C5250","NCIT",NA,NA,NA
"STOMACH ADENOCARCINOMA, SIGNET RING TYPE","Gastric Signet Ring Cell Adenocarcinoma","NCIT:C5250","NCIT",NA,NA,NA
"BORDERLINE PHYLLODES TUMOR OF THE BREAST","Borderline Breast Phyllodes Tumor","NCIT:C5316","NCIT",NA,NA,NA
"BORDERLINE PT","Borderline Breast Phyllodes Tumor","NCIT:C5316","NCIT",NA,NA,NA
"LUMINAL A","Luminal A Breast Carcinoma","NCIT:C53554","NCIT",NA,NA,NA
"LUMA","Luminal A Breast Carcinoma","NCIT:C53554","NCIT",NA,NA,NA
"LUMINALA","Luminal A Breast Carcinoma","NCIT:C53554","NCIT",NA,NA,NA
"BRCA_LUMA","Luminal A Breast Carcinoma","NCIT:C53554","NCIT",NA,NA,NA
"LUMINAL B","Luminal B Breast Carcinoma","NCIT:C53555","NCIT",NA,NA,NA
"LUMB","Luminal B Breast Carcinoma","NCIT:C53555","NCIT",NA,NA,NA
"LUMINALB","Luminal B Breast Carcinoma","NCIT:C53555","NCIT",NA,NA,NA
"BRCA_LUMB","Luminal B Breast Carcinoma","NCIT:C53555","NCIT",NA,NA,NA
"HER2","HER2-Positive Breast Carcinoma","NCIT:C53556","NCIT",NA,NA,NA
"HER2-ENRICHED","HER2-Positive Breast Carcinoma","NCIT:C53556","NCIT",NA,NA,NA
"BRCA_HER2","HER2-Positive Breast Carcinoma","NCIT:C53556","NCIT",NA,NA,NA
"NORMAL-LIKE","Normal Breast-Like Subtype of Breast Carcinoma","NCIT:C53557","NCIT",NA,NA,NA
"BASAL-LIKE","Basal-Like Breast Carcinoma","NCIT:C53558","NCIT",NA,NA,NA
"INTIMAL SARCOMA","Intimal Sarcoma","NCIT:C53677","NCIT",NA,NA,NA
"ATYPICAL CHOROID PLEXUS PAPILLOMA","Atypical Choroid Plexus Papilloma","NCIT:C53686","NCIT",NA,NA,NA
"SECONDARY OSTEOSARCOMA","Secondary Osteosarcoma","NCIT:C53704","NCIT",NA,NA,NA
"OSTEOBLASTIC OSTEOSARCOMA","Osteoblastic Osteosarcoma","NCIT:C53953","NCIT",NA,NA,NA
"ERDHEIM-CHESTER DISEASE","Erdheim-Chester Disease","NCIT:C53972","NCIT",NA,NA,NA
"CNS EMBRYONAL TUMOR, NOS","Central Nervous System Embryonal Tumor, Not Otherwise Specified","NCIT:C5398","NCIT",NA,NA,NA
"SINONASAL UNDIFFERENTIATED CARCINOMA","Sinonasal Undifferentiated Carcinoma","NCIT:C54294","NCIT",NA,NA,NA
"CLEAR CELL ODONTOGENIC CARCINOMA","Clear Cell Odontogenic Carcinoma","NCIT:C54300","NCIT",NA,NA,NA
"PAPILLARY STOMACH ADENOCARCINOMA","Gastric Papillary Adenocarcinoma","NCIT:C5472","NCIT",NA,NA,NA
"STOMACH, INTESTINAL ADENOCARCINOMA, PAPILLARY TYPE","Gastric Papillary Adenocarcinoma","NCIT:C5472","NCIT",NA,NA,NA
"TUBULAR STOMACH ADENOCARCINOMA","Gastric Tubular Adenocarcinoma","NCIT:C5473","NCIT",NA,NA,NA
"STOMACH, INTESTINAL ADENOCARCINOMA, TUBULAR TYPE","Gastric Tubular Adenocarcinoma","NCIT:C5473","NCIT",NA,NA,NA
"ADENOSQUAMOUS CARCINOMA OF THE STOMACH","Gastric Adenosquamous Carcinoma","NCIT:C5474","NCIT",NA,NA,NA
"UNDIFFERENTIATED STOMACH ADENOCARCINOMA","Gastric Undifferentiated Carcinoma","NCIT:C5476","NCIT",NA,NA,NA
"PRIMARY CNS MELANOMA","Central Nervous System Melanoma","NCIT:C5505","NCIT",NA,NA,NA
"PROSTATE SQUAMOUS CELL CARCINOMA","Prostate Squamous Cell Carcinoma","NCIT:C5536","NCIT",NA,NA,NA
"CAECUM ADENOCARCINOMA","Cecum Adenocarcinoma","NCIT:C5543","NCIT",NA,NA,NA
"CAECUM_ADENOCARCINOMA","Cecum Adenocarcinoma","NCIT:C5543","NCIT",NA,NA,NA
"POROCARCINOMA/SPIROADENOCARCINOMA","Porocarcinoma","NCIT:C5560","NCIT",NA,NA,NA
"PROSTATE ADENOCARCINOMA ACINAR TYPE","Prostate Acinar Adenocarcinoma","NCIT:C5596","NCIT",NA,NA,NA
"ANAL GLAND ADENOCARCINOMA","Anal Glands Adenocarcinoma","NCIT:C5609","NCIT",NA,NA,NA
"LUNG ACINAR ADENOCARCINOMA","Lung Acinar Adenocarcinoma","NCIT:C5649","NCIT",NA,NA,NA
"ACINAR ADENOCARCINOMA 85513","Lung Acinar Adenocarcinoma","NCIT:C5649","NCIT",NA,NA,NA
"LUNG PAPILLARY ADENOCARCINOMA","Lung Papillary Adenocarcinoma","NCIT:C5650","NCIT",NA,NA,NA
"SOLID ADENOCARCINOMA 82303","Solid Lung Adenocarcinoma","NCIT:C5651","NCIT",NA,NA,NA
"ADENOID CYSTIC CARCINOMA OF THE LUNG","Lung Adenoid Cystic Carcinoma","NCIT:C5666","NCIT",NA,NA,NA
"PLEUROPULMONARY BLASTOMA","Pleuropulmonary Blastoma","NCIT:C5669","NCIT",NA,NA,NA
"PLEUROPULMORY BLASTOMA PPB","Pleuropulmonary Blastoma","NCIT:C5669","NCIT",NA,NA,NA
"PLEUROPULMONARY BLASTOMA PPB","Pleuropulmonary Blastoma","NCIT:C5669","NCIT",NA,NA,NA
"MUCOSAL MELANOMA OF THE ESOPHAGUS","Esophageal Melanoma","NCIT:C5707","NCIT",NA,NA,NA
"SEROUS CYSTADENOMA OF THE PANCREAS","Pancreatic Serous Cystadenoma","NCIT:C5712","NCIT",NA,NA,NA
"PDA -  SIGNET RING","Pancreatic Signet Ring Cell Carcinoma","NCIT:C5720","NCIT",NA,NA,NA
"ADENOSQUAMOUS CARCINOMA OF THE PANCREAS","Pancreatic Adenosquamous Carcinoma","NCIT:C5721","NCIT",NA,NA,NA
"UNDIFFERENTIATED CARCINOMA OF THE PANCREAS","Pancreatic Undifferentiated Carcinoma","NCIT:C5722","NCIT",NA,NA,NA
"PANCREAS-UNDIFFERENTIATED CARCINOMA","Pancreatic Undifferentiated Carcinoma","NCIT:C5722","NCIT",NA,NA,NA
"PDA - UNDIFFERENTIATED CARCINOMA SOME MULTINUCLEATED BUT NOT OSTEOCLAST","Pancreatic Undifferentiated Carcinoma","NCIT:C5722","NCIT",NA,NA,NA
"PDA - UNDIFFERENTIATED ANAPLASTIC CARCINOMA","Pancreatic Undifferentiated Carcinoma","NCIT:C5722","NCIT",NA,NA,NA
"INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM WITH AN ASSOCIATED INVASIVE CARCINOMA","Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma","NCIT:C5726","NCIT",NA,NA,NA
"INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM WITH INVASION","Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma","NCIT:C5726","NCIT",NA,NA,NA
"SMALL BOWEL NEUROENDOCRINE TUMOR","Small Intestinal Neuroendocrine Neoplasm","NCIT:C5803","NCIT",NA,NA,NA
"SALIVARY DUCT CARCINOMA","Salivary Duct Carcinoma","NCIT:C5904","NCIT",NA,NA,NA
"POORLY DIFFERENTIATED THYROID CARCINOMA","Poorly Differentiated Thyroid Gland Carcinoma","NCIT:C6040","NCIT",NA,NA,NA
"POORLY DIFFERENTIATED THYROID CANCER","Poorly Differentiated Thyroid Gland Carcinoma","NCIT:C6040","NCIT",NA,NA,NA
"THYROID POORLY DIFFERENTIATED","Poorly Differentiated Thyroid Gland Carcinoma","NCIT:C6040","NCIT",NA,NA,NA
"THPD","Poorly Differentiated Thyroid Gland Carcinoma","NCIT:C6040","NCIT",NA,NA,NA
"THYROID SARCOMA","Thyroid Gland Sarcoma","NCIT:C6041","NCIT",NA,NA,NA
"THYROID_SARCOMA","Thyroid Gland Sarcoma","NCIT:C6041","NCIT",NA,NA,NA
"ONCOCYTIC ADENOMA OF THE THYROID","Thyroid Gland Oncocytic Adenoma","NCIT:C6042","NCIT",NA,NA,NA
"MEDULLARY CARCINOMA OF THE COLON","Colon Medullary Carcinoma","NCIT:C60641","NCIT",NA,NA,NA
"ASTROCYTOMA","Astrocytoma","NCIT:C60781","NCIT",NA,NA,NA
"ASTROCYTOMA_GRADE_IV","Astrocytoma","NCIT:C60781","NCIT",NA,NA,NA
"ASTROCYTOMA_GRADE_III","Astrocytoma","NCIT:C60781","NCIT",NA,NA,NA
"URETHRAL SQUAMOUS CELL CARCINOMA","Urethral Squamous Cell Carcinoma","NCIT:C6165","NCIT",NA,NA,NA
"URETHRAL UROTHELIAL CARCINOMA","Urethral Urothelial Carcinoma","NCIT:C6166","NCIT",NA,NA,NA
"URETHRAL ADENOCARCINOMA","Urethral Adenocarcinoma","NCIT:C6167","NCIT",NA,NA,NA
"COLLECTING DUCT RENAL CELL CARCINOMA","Collecting Duct Carcinoma","NCIT:C6194","NCIT",NA,NA,NA
"OVARIAN GRANULOSA CELL TUMOR","Ovarian Granulosa Cell Tumor","NCIT:C6261","NCIT",NA,NA,NA
"ENDOMETRIOID ENDOMETRIAL ADENOCARCINOMA","Endometrial Endometrioid Adenocarcinoma","NCIT:C6287","NCIT",NA,NA,NA
"UTERINE ENDOMETRIOID CARCINOMA","Endometrial Endometrioid Adenocarcinoma","NCIT:C6287","NCIT",NA,NA,NA
"COPY-NUMBER LOW ENDOMETRIOD","Endometrial Endometrioid Adenocarcinoma","NCIT:C6287","NCIT",NA,NA,NA
"UTERINE ENDOMETRIOID","Endometrial Endometrioid Adenocarcinoma","NCIT:C6287","NCIT",NA,NA,NA
"UCEC ENDO","Endometrial Endometrioid Adenocarcinoma","NCIT:C6287","NCIT",NA,NA,NA
"UTERINE ADENOSARCOMA","Uterine Corpus Adenosarcoma","NCIT:C6336","NCIT",NA,NA,NA
"UTERINE SARCOMA","Uterine Corpus Sarcoma","NCIT:C6339","NCIT",NA,NA,NA
"UTERINE_SARCOMA","Uterine Corpus Sarcoma","NCIT:C6339","NCIT",NA,NA,NA
"UTERINE SARCOMA, OTHER","Uterine Corpus Sarcoma","NCIT:C6339","NCIT",NA,NA,NA
"UTERINE LEIOMYOSARCOMA","Uterine Corpus Leiomyosarcoma","NCIT:C6340","NCIT",NA,NA,NA
"SARCOMA LEIOMYO","Uterine Corpus Leiomyosarcoma","NCIT:C6340","NCIT",NA,NA,NA
"SARC LMS","Uterine Corpus Leiomyosarcoma","NCIT:C6340","NCIT",NA,NA,NA
"CERVICAL ENDOMETRIOID CARCINOMA","Cervical Endometrioid Adenocarcinoma","NCIT:C6343","NCIT",NA,NA,NA
"ENDOMETRIOID ADENOCARCINOMA OF ENDOCERVIX","Cervical Endometrioid Adenocarcinoma","NCIT:C6343","NCIT",NA,NA,NA
"CERVICAL CLEAR CELL CARCINOMA","Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type","NCIT:C6344","NCIT",NA,NA,NA
"CERVICAL ADENOID CYSTIC CARCINOMA","Cervical Adenoid Cystic Carcinoma","NCIT:C6346","NCIT",NA,NA,NA
"PDA - UNDIFFERENTIATED CARCINOMA WITH OSTEOCLAST LIKE GIANT CELLS","Undifferentiated Carcinoma with Osteoclast-Like Giant Cells","NCIT:C63622","NCIT",NA,NA,NA
"MIXED INVASIVE DUCTAL AND INVASIVE LOBULAR","Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma","NCIT:C6393","NCIT",NA,NA,NA
"INVASIVE MIXED DUCTAL AND LOBULAR CARCINOMA","Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma","NCIT:C6393","NCIT",NA,NA,NA
"THYMIC EPITHELIAL TUMOR","Thymic Epithelial Neoplasm","NCIT:C6450","NCIT",NA,NA,NA
"THYMOMA; TYPE A","Thymoma Type A","NCIT:C6454","NCIT",NA,NA,NA
"TYPE ATHYMOMA","Thymoma Type A","NCIT:C6454","NCIT",NA,NA,NA
"TYPE A","Thymoma Type A","NCIT:C6454","NCIT",NA,NA,NA
"TYPE ATHYMOMA","Thymoma Type A","NCIT:C6454","NCIT",NA,NA,NA
"TC:SCC","Thymic Squamous Cell Carcinoma","NCIT:C6455","NCIT",NA,NA,NA
"DEDIFFERENTIATED CHONDROSARCOMA","Dedifferentiated Chondrosarcoma","NCIT:C6476","NCIT",NA,NA,NA
"DEDIFFERENTIATED","Dedifferentiated Chondrosarcoma","NCIT:C6476","NCIT",NA,NA,NA
"INFLAMMATORY MYOFIBROBLASTIC TUMOR","Inflammatory Myofibroblastic Tumor","NCIT:C6481","NCIT",NA,NA,NA
"FIBROBLASTIC MYOFIBROBLASTIC TUMOR","Inflammatory Myofibroblastic Tumor","NCIT:C6481","NCIT",NA,NA,NA
"PLEXIFORM FIBROHISTIOCYTIC TUMOR","Plexiform Fibrohistiocytic Tumor","NCIT:C6493","NCIT",NA,NA,NA
"MYXOFIBROSARCOMA","Myxofibrosarcoma","NCIT:C6496","NCIT",NA,NA,NA
"MYXOID FIBROSARCOMA","Myxofibrosarcoma","NCIT:C6496","NCIT",NA,NA,NA
"WELL-DIFFERENTIATED LIPOSARCOMA","Atypical Lipomatous Tumor/Well Differentiated Liposarcoma","NCIT:C6505","NCIT",NA,NA,NA
"WELL DIFFERENTIATED LIPOSARCOMA","Atypical Lipomatous Tumor/Well Differentiated Liposarcoma","NCIT:C6505","NCIT",NA,NA,NA
"NON_SMALL_CELL_CARCINOMA","Non-Small Cell Carcinoma","NCIT:C65151","NCIT",NA,NA,NA
"MALIGNANT SMALL CELL TUMOR","Malignant Tumor, Small Cell Type","NCIT:C65154","NCIT",NA,NA,NA
"SPINDLE CELL RHABDOMYOSARCOMA","Spindle Cell Rhabdomyosarcoma","NCIT:C6519","NCIT",NA,NA,NA
"TUBULAR_ADENOCARCINOMA","Tubular Adenocarcinoma","NCIT:C65192","NCIT",NA,NA,NA
"ADENOCARCINOMA, TUBULAR","Tubular Adenocarcinoma","NCIT:C65192","NCIT",NA,NA,NA
"SYNOVIAL SARCOMA - MONOPHASIC","Monophasic Synovial Sarcoma","NCIT:C6534","NCIT",NA,NA,NA
"MYXOMA","Myxoma","NCIT:C6577","NCIT",NA,NA,NA
"OSSIFYING FIBROMYXOID TUMOR","Ossifying Fibromyxoid Tumor","NCIT:C6582","NCIT",NA,NA,NA
"EXTRARENAL RHABDOID TUMOR","Extrarenal Rhabdoid Tumor","NCIT:C6586","NCIT",NA,NA,NA
"MEDULLARY CARCINOMA","Medullary Carcinoma, Not Otherwise Specified","NCIT:C66718","NCIT",NA,NA,NA
"MEDULLARY","Medullary Carcinoma, Not Otherwise Specified","NCIT:C66718","NCIT",NA,NA,NA
"ADENOCARCINOMA WITH NE FEATURES","Adenocarcinoma with Neuroendocrine Differentiation","NCIT:C66745","NCIT",NA,NA,NA
"METATYPICAL","Skin Metatypical Carcinoma","NCIT:C66903","NCIT",NA,NA,NA
"ROSETTE-FORMING GLIONEURONAL TUMOR OF THE FOURTH VENTRICLE","Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle","NCIT:C67559","NCIT",NA,NA,NA
"SMALL CELL NEUROENDOCRINE CARCINOMA OF GALLBLADDER","Gallbladder Small Cell Neuroendocrine Carcinoma","NCIT:C6763","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF  GALLBLADDER","Gallbladder Small Cell Neuroendocrine Carcinoma","NCIT:C6763","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF THE STOMACH","Gastric Small Cell Neuroendocrine Carcinoma","NCIT:C6764","NCIT",NA,NA,NA
"GASTRIC_SMALL_CELL","Gastric Small Cell Neuroendocrine Carcinoma","NCIT:C6764","NCIT",NA,NA,NA
"PROSTATE SMALL CELL CARCINOMA","Prostate Small Cell Neuroendocrine Carcinoma","NCIT:C6766","NCIT",NA,NA,NA
"PROSTATE_SMALL_CELL","Prostate Small Cell Neuroendocrine Carcinoma","NCIT:C6766","NCIT",NA,NA,NA
"EPENDYMOMAL TUMOR","Ependymal Tumor","NCIT:C6770","NCIT",NA,NA,NA
"DERMATOFIBROMA","Skin Fibrous Histiocytoma","NCIT:C6801","NCIT",NA,NA,NA
"PROSTATE ADENOCARCINOMA, NOT OTHERWISED SPECIFIED, WITH DUCTAL FEATUES","Prostate Ductal Adenocarcinoma","NCIT:C6813","NCIT",NA,NA,NA
"ADENOCARCINOMA PROSTATE WITH PROMINENT DUCTAL DIFFERENTIATION IDENTIFIED","Prostate Ductal Adenocarcinoma","NCIT:C6813","NCIT",NA,NA,NA
"25-30% DUCTAL COMPONENT","Prostate Ductal Adenocarcinoma","NCIT:C6813","NCIT",NA,NA,NA
"SINONASAL SQUAMOUS CELL CARCINOMA","Sinonasal Squamous Cell Carcinoma","NCIT:C68611","NCIT",NA,NA,NA
"MDS WITH ISOLATED DEL5Q","Myelodysplastic Syndrome with Isolated del(5q)","NCIT:C6867","NCIT",NA,NA,NA
"MYELODYSPLASTIC SYNDROME ASSOCIATED WITH ISOLATED DEL5Q","Myelodysplastic Syndrome with Isolated del(5q)","NCIT:C6867","NCIT",NA,NA,NA
"SOLID PAPILLARY CARCINOMA OF THE BREAST","Breast Solid Papillary Carcinoma","NCIT:C6870","NCIT",NA,NA,NA
"LARGE CELL NEUROENDOCRINE CARCINOMA","Large Cell Neuroendocrine Carcinoma","NCIT:C6875","NCIT",NA,NA,NA
"MIXED ACINAR-NEUROENDOCRINE CARCINOMA","Pancreatic Mixed Acinar-Neuroendocrine Carcinoma","NCIT:C6878","NCIT",NA,NA,NA
"PDA - MIXED DUCTAL ENDOCRINE CARCINOMA","Pancreatic Mixed Ductal-Neuroendocrine Carcinoma","NCIT:C6879","NCIT",NA,NA,NA
"THYMOMA; TYPE AB","Thymoma Type AB","NCIT:C6885","NCIT",NA,NA,NA
"TYPE AB","Thymoma Type AB","NCIT:C6885","NCIT",NA,NA,NA
"AB","Thymoma Type AB","NCIT:C6885","NCIT",NA,NA,NA
"THYMOMA; TYPE B1","Thymoma Type B1","NCIT:C6887","NCIT",NA,NA,NA
"TYPE B1THYMOMA","Thymoma Type B1","NCIT:C6887","NCIT",NA,NA,NA
"TYPE B1","Thymoma Type B1","NCIT:C6887","NCIT",NA,NA,NA
"TYPE B1THYMOMA","Thymoma Type B1","NCIT:C6887","NCIT",NA,NA,NA
"B1","Thymoma Type B1","NCIT:C6887","NCIT",NA,NA,NA
"THYMOMA; TYPE B2","Thymoma Type B2","NCIT:C6888","NCIT",NA,NA,NA
"TYPE B2THYMOMA","Thymoma Type B2","NCIT:C6888","NCIT",NA,NA,NA
"TYPE B2","Thymoma Type B2","NCIT:C6888","NCIT",NA,NA,NA
"TYPE B2THYMOMA","Thymoma Type B2","NCIT:C6888","NCIT",NA,NA,NA
"B2","Thymoma Type B2","NCIT:C6888","NCIT",NA,NA,NA
"EPITHELIOID TROPHOBLASTIC TUMOR","Epithelioid Trophoblastic Tumor","NCIT:C6900","NCIT",NA,NA,NA
"ATYPICAL TERATOID/RHABDOID TUMOR","Atypical Teratoid/Rhabdoid Tumor","NCIT:C6906","NCIT",NA,NA,NA
"ATRT","Atypical Teratoid/Rhabdoid Tumor","NCIT:C6906","NCIT",NA,NA,NA
"ATYPICAL TERATOID RHABDOID TUMOR ATRT","Atypical Teratoid/Rhabdoid Tumor","NCIT:C6906","NCIT",NA,NA,NA
"PRIMARY EFFUSION LYMPHOMA","Primary Effusion Lymphoma","NCIT:C6915","NCIT",NA,NA,NA
"B_CELL_PRIMARY_EFFUSION","Primary Effusion Lymphoma","NCIT:C6915","NCIT",NA,NA,NA
"SWEAT GLAND CARCINOMA/APOCRINE ECCRINE CARCINOMA","Sweat Gland Carcinoma","NCIT:C6938","NCIT",NA,NA,NA
"ANAPLASTIC OLIGOASTROCYTOMA","Anaplastic Oligoastrocytoma","NCIT:C6959","NCIT",NA,NA,NA
"PINEAL PARENCHYMAL TUMOR OF INTERMEDIATE DIFFERENTIATION","Pineal Parenchymal Tumor of Intermediate Differentiation","NCIT:C6967","NCIT",NA,NA,NA
"PLEXIFORM SCHWANNOMA","Plexiform Schwannoma","NCIT:C6969","NCIT",NA,NA,NA
"MELANOTIC SCHWANNOMA","Melanotic Schwannoma","NCIT:C6970","NCIT",NA,NA,NA
"PAPILLARY RENAL CELL CARCINOMA","Papillary Renal Cell Carcinoma","NCIT:C6975","NCIT",NA,NA,NA
"KIDNEY PAPILLARY RENAL CELL CARCINOMA","Papillary Renal Cell Carcinoma","NCIT:C6975","NCIT",NA,NA,NA
"PAPILLARY KIDNEY RENAL CELL CARCINOMA","Papillary Renal Cell Carcinoma","NCIT:C6975","NCIT",NA,NA,NA
"KIRP","Papillary Renal Cell Carcinoma","NCIT:C6975","NCIT",NA,NA,NA
"BASALOID PENILE SQUAMOUS CELL CARCINOMA","Basaloid Squamous Cell Carcinoma of the Penis","NCIT:C6980","NCIT",NA,NA,NA
"CNS EMBRYONAL NOS","Central Nervous System Embryonal Tumor","NCIT:C6990","NCIT",NA,NA,NA
"CNS GERMINOMA","Central Nervous System Germinoma","NCIT:C7009","NCIT",NA,NA,NA
"TRILATERAL","Trilateral Retinoblastoma","NCIT:C7019","NCIT",NA,NA,NA
"BARRETT_ASSOCIATED_ADENOCARCINOMA","Barrett Adenocarcinoma","NCIT:C7027","NCIT",NA,NA,NA
"MYOFIBROMA","Myofibroma","NCIT:C7052","NCIT",NA,NA,NA
"MATURE B-CELL LYMPHOMA","Mature B-Cell Non-Hodgkin Lymphoma","NCIT:C7056","NCIT",NA,NA,NA
"MESENCHYMAL NEOPLASM","Mesenchymal Cell Neoplasm","NCIT:C7059","NCIT",NA,NA,NA
"LYMPHOID NEOPLASM","Lymphocytic Neoplasm","NCIT:C7065","NCIT",NA,NA,NA
"ONCOCYTOMA","Oncocytic Neoplasm","NCIT:C7072","NCIT",NA,NA,NA
"ONCOCYTIC","Oncocytic Neoplasm","NCIT:C7072","NCIT",NA,NA,NA
"LIVER TUMOR","Liver and Intrahepatic Bile Duct Neoplasm","NCIT:C7103","NCIT",NA,NA,NA
"ENDOMETRIOID","Endometrioid Tumor","NCIT:C7113","NCIT",NA,NA,NA
"INTRACHOLECYSTIC PAPILLARY NEOPLASM","Gallbladder Intracholecystic Papillary Neoplasm","NCIT:C7130","NCIT",NA,NA,NA
"SMOLDERING MYELOMA","Smoldering Plasma Cell Myeloma","NCIT:C7149","NCIT",NA,NA,NA
"ERYTHROLEUKEMIA","Erythroleukemia","NCIT:C7152","NCIT",NA,NA,NA
"WELL-DIFFERENTIATED THYROID CANCER","Differentiated Thyroid Gland Carcinoma","NCIT:C7153","NCIT",NA,NA,NA
"CLASSICAL HODGKIN LYMPHOMA","Classic Hodgkin Lymphoma","NCIT:C7164","NCIT",NA,NA,NA
"REFRACTORY ANEMIA WITH EXCESS BLASTS-2","Myelodysplastic Syndrome with Excess Blasts-2","NCIT:C7168","NCIT",NA,NA,NA
"MDS WITH EXCESS BLASTS-2","Myelodysplastic Syndrome with Excess Blasts-2","NCIT:C7168","NCIT",NA,NA,NA
"PRIMARY DLBCL OF THE CNS","Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System","NCIT:C71720","NCIT",NA,NA,NA
