original_value,curated_ontology,match_level,top_results
NON AML MDSMPN DIAGNOSIS AT ACQUISITION,Myelodysplastic/Myeloproliferative Neoplasm,0,"Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.9064);Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified (Score: 0.9054);Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified (Score: 0.9044);Acute Myeloid Leukemia Not Otherwise Specified (Score: 0.9044);Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM (Score: 0.9027)"
THYMOMA; TYPE B2,Thymoma Type B2,1,Thymoma Type B2 (Score: 0.9936);Thymoma Type B3 (Score: 0.9643);Thymoma Type A (Score: 0.9621);Thymoma Type AB (Score: 0.9617);Thymoma Type B1 (Score: 0.9609)
IDC,Invasive Breast Carcinoma of No Special Type,0,Invasive Breast Carcinoma (Score: 0.8955);Breast Ductal Carcinoma (Score: 0.8952);Ductal (Score: 0.8931);Carcinoma (Score: 0.8918);Breast Ductal Carcinoma In Situ (Score: 0.8916)
"DIFFUSE LARGE B-CELL LYMPHOMA, NOS",Diffuse Large B-Cell Lymphoma,1,Diffuse Large B-Cell Lymphoma (Score: 0.9834);Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System (Score: 0.9586);Diffuse Large B-Cell Lymphoma Activated B-Cell Type (Score: 0.9575);Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type (Score: 0.9569);B-Cell Non-Hodgkin Lymphoma (Score: 0.9417)
PAPILLARY_TRANSITIONAL_CELL_CARCINOMA,Papillary Transitional Cell Carcinoma,1,Papillary Transitional Cell Carcinoma (Score: 0.9873);Papillary Carcinoma (Score: 0.9617);Transitional Cell Carcinoma (Score: 0.9574);Papillary Renal Cell Carcinoma (Score: 0.9537);Papillary Adenocarcinoma (Score: 0.9409)
CLEAR_CELL,Clear Cell,1,Clear Cell (Score: 0.9866);Clear Cells (Score: 0.9819);Clear Cell Adenocarcinoma (Score: 0.9469);Clear Cell Renal Cell Carcinoma (Score: 0.9453);Adenocarcinoma Clear Cell (Score: 0.9390)
THPA,Thyroid Gland Papillary Carcinoma,0,Hemangioma (Score: 0.8939);Thigh (Score: 0.8853);Pituicytoma (Score: 0.8827);Brain (Score: 0.8790);Paracentesis (Score: 0.8787)
PRAD,Prostate Adenocarcinoma,0,Pharynx (Score: 0.8801);Pancreas (Score: 0.8797);Peritoneum (Score: 0.8797);Cribriform (Score: 0.8766);Biopsy (Score: 0.8764)
ACC,Adrenal Cortical Carcinoma,0,Anaplastic Astrocytoma (Score: 0.8805);Cerebral Cortex (Score: 0.8799);Colon (Score: 0.8784);Anaplastic Carcinoma (Score: 0.8749);Brain (Score: 0.8747)
ENDOMETRIAL_STROMAL_SARCOMA,Endometrioid Stromal Sarcoma,1,Endometrioid Stromal Sarcoma (Score: 0.9641);Low Grade Endometrioid Stromal Sarcoma (Score: 0.9355);Uterine Corpus Sarcoma (Score: 0.9276);Endometrial Carcinoma (Score: 0.9228);Endometrial Adenocarcinoma (Score: 0.9226)
EXTRAMAMMARY PAGET DISEASE,Extramammary Paget Disease,1,Extramammary Paget Disease (Score: 1.0000);Extranodal Disease (Score: 0.9188);Nipple Paget Disease (Score: 0.9106);Extragonadal Germ Cell Tumor (Score: 0.8995);Extrarenal Rhabdoid Tumor (Score: 0.8953)
AML WITH MINIMAL DIFFERENTIATION,Acute Myeloid Leukemia with Minimal Differentiation,1,"Acute Myeloid Leukemia with Minimal Differentiation (Score: 0.9752);Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.9295);Acute Myeloid Leukemia with Maturation (Score: 0.9257);Acute Myeloid Leukemia without Maturation (Score: 0.9232);Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified (Score: 0.9113)"
"CARCINOMA, FOLLICULAR",Thyroid Gland Follicular Carcinoma,1,Thyroid Gland Follicular Carcinoma (Score: 0.9643);Thyroid Gland Papillary and Follicular Carcinoma (Score: 0.9523);Carcinoma (Score: 0.9490);Follicular Variant Thyroid Gland Papillary Carcinoma (Score: 0.9454);Follicular Lymphoma (Score: 0.9309)
EWS-FLI1,Ewing Sarcoma<;>EWSR1/FLI1 Fusion Protein,0,EWSR1/FLI1 Fusion Protein (Score: 0.9678);FLI1 Gene (Score: 0.9495);Round Cell Sarcoma with EWSR1-non-ETS Fusion (Score: 0.9055);B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1 (Score: 0.8906);PAX3/FOXO1 Fusion Gene (Score: 0.8906)
NON-SEMINOMA; TERATOMA IMMATURENON-SEMINOMA; YOLK SAC TUMOR,Nonseminomatous<;>Immature Teratoma<;>Yolk Sac Tumor,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9456);Yolk Sac Tumor (Score: 0.9356);Teratoma with Somatic-Type Malignancy (Score: 0.9338);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9229);Immature Teratoma (Score: 0.9214)"
TERATOMA MATURE,Mature Teratoma,1,Mature Teratoma (Score: 0.9802);Teratoma (Score: 0.9566);Immature Teratoma (Score: 0.9425);Mature (Score: 0.9236);Teratoma with Somatic-Type Malignancy (Score: 0.9183)
NON-SEMINOMA; YOLK SAC TUMORNON-SEMINOMA; EMBRYONAL CARCINOMANON-SEMINOMA; TERATOMA MATURENON-SEMINOMA; TERATOMA IMMATURE,Nonseminomatous<;>Immature Teratoma<;>Yolk Sac Tumor<;>Embryonal Carcinoma<;>Mature Teratoma,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9418);Teratoma with Somatic-Type Malignancy (Score: 0.9351);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9284);Yolk Sac Tumor (Score: 0.9223);Mature T-Cell and NK-Cell Neoplasm (Score: 0.9206)"
TGCT NON-SEM,Testicular Non-Seminomatous Germ Cell Tumor,1,Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.8937);Non-Glabrous Skin (Score: 0.8856);Nonseminomatous (Score: 0.8823);Not Otherwise Specified (Score: 0.8702);T-Cell Non-Hodgkin Lymphoma (Score: 0.8699)
RECURRENT,Recurrent,1,Recurrent (Score: 1.0000);Recurrent Disease (Score: 0.9745);Recurrence (Score: 0.9652);Recurrent Malignant Glioma (Score: 0.9372);Recurrent Endometrial Carcinoma (Score: 0.9323)
ANAL SQUAMOUS CELL,Anal Squamous Cell Carcinoma,1,Anal Squamous Cell Carcinoma (Score: 0.9861);Squamous Cell Carcinoma (Score: 0.9565);Esophageal Squamous Cell Carcinoma (Score: 0.9503);Prostate Squamous Cell Carcinoma (Score: 0.9481);Skin Squamous Cell Carcinoma (Score: 0.9469)
HYPODIPLOID,Hypodiploidy,1,Hypodiploidy (Score: 0.9969);Hyperdiploidy (Score: 0.9482);B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy (Score: 0.9459);Diploidy (Score: 0.9027);Near-Haploidy (Score: 0.8905)
METASTASIS,Metastasis,1,Metastasis (Score: 1.0000);Metastatic (Score: 0.9678);Metastatic Lesion (Score: 0.9578);Site of Metastasis (Score: 0.9540);Distant Metastasis (Score: 0.9423)
SEMINOMA; NOSNON-SEMINOMA; TERATOMA MATURENON-SEMINOMA; EMBRYONAL CARCINOMA,Embryonal Carcinoma<;>Nonseminomatous<;>Mature Teratoma<;>Seminoma,0,"Teratoma with Somatic-Type Malignancy (Score: 0.9304);Testicular Seminoma (Score: 0.9269);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9266);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9207);Teratoma (Score: 0.9206)"
UCEC HM,Endometrial Carcinoma<;>Microsatellite Instability,0,Colon (Score: 0.8798);Hypermutated Colorectal Carcinoma (Score: 0.8754);Colorectal (Score: 0.8719);Jejunum (Score: 0.8714);Uveal Melanoma (Score: 0.8676)
"METASTATIC, VARIANT HISTOLOGY",Aggressive Variant Prostate Carcinoma,5,Metastatic (Score: 0.9339);Metastatic Lesion (Score: 0.9281);Metastatic Prostate Carcinoma (Score: 0.9268);Metastatic Ovarian Carcinoma (Score: 0.9224);Aggressive Variant Prostate Carcinoma (Score: 0.9191)
RAEB1,Myelodysplastic Syndrome with Excess Blasts-1,0,Acute Promyelocytic Leukemia with PML-RARA (Score: 0.8876);Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA (Score: 0.8845);Rectum (Score: 0.8842);PML-RARA Fusion Protein Expression (Score: 0.8817);Retinoblastoma (Score: 0.8809)
THYROID_SARCOMA,Thyroid Gland Sarcoma,1,Thyroid Gland Sarcoma (Score: 0.9758);Sarcoma (Score: 0.9322);Thyroid Gland Carcinoma (Score: 0.9287);Thyroid Gland (Score: 0.9226);thyroid gland squamous cell carcinoma (Score: 0.9211)
ERNEG_HER2NEG,Estrogen Receptor Negative<;>HER2/Neu Negative,0,HER2/Neu Negative (Score: 0.9281);HER2/Neu Positive (Score: 0.9223);HER2-Positive Breast Carcinoma (Score: 0.9149);Estrogen Receptor Negative (Score: 0.9048);Estrogen Receptor Positive (Score: 0.8940)
M7DOWN,Acute Megakaryoblastic Leukemia<;>Down Syndrome,0,"Diffuse Midline Glioma, H3 K27M-Mutant (Score: 0.8567);Muscle (Score: 0.8563);Myelodysplastic Syndrome with Isolated del(5q) (Score: 0.8545);Myelodysplastic Syndrome with del(5q) (Score: 0.8524);Diabetes Mellitus (Score: 0.8501)"
SOLID/DEDIFFERENTIATED,Solid<;>Carcinoma Exhibiting Undifferentiated or Dedifferentiated Features,0,Solid (Score: 0.9245);Dedifferentiated Chondrosarcoma (Score: 0.9182);Solid Lung Adenocarcinoma (Score: 0.9162);Carcinoma Exhibiting Undifferentiated or Dedifferentiated Features (Score: 0.9099);Dedifferentiated Liposarcoma (Score: 0.9052)
MESENCHYMAL NEOPLASM,Mesenchymal Cell Neoplasm,1,Mesenchymal Cell Neoplasm (Score: 0.9886);Neoplasm (Score: 0.9326);Mesenchymal (Score: 0.9319);Malignant Neoplasm (Score: 0.9282);Mesenchymal Chondrosarcoma (Score: 0.9260)
"B-CELL, NON-HODGKINS, BURKITTS",B-Cell Non-Hodgkin Lymphoma<;>Burkitt Lymphoma,0,B-Cell Non-Hodgkin Lymphoma (Score: 0.9714);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9480);Non-Hodgkin Lymphoma (Score: 0.9449);T-Cell Non-Hodgkin Lymphoma (Score: 0.9446);Burkitt Lymphoma (Score: 0.9392)
ANAPLASTIC LARGE-CELL LYMPHOMA ALK POSITIVE,"Anaplastic Large Cell Lymphoma, ALK-Positive",1,"Anaplastic Large Cell Lymphoma, ALK-Positive (Score: 0.9970);Anaplastic Large Cell Lymphoma, ALK-Negative (Score: 0.9817);Anaplastic Large Cell Lymphoma (Score: 0.9600);Large Cell/Anaplastic Medulloblastoma (Score: 0.9197);Malignant Lymphoma, Large Cell, Non-Cleaved (Score: 0.9142)"
POORLY DIFFERENTIATED OR PLEOMORPHIC OR EPITHELIOID LEIOMYOSARCOMA,Leiomyosarcoma,3,Well Differentiated Leiomyosarcoma (Score: 0.9506);Atypical Lipomatous Tumor/Well Differentiated Liposarcoma (Score: 0.9359);Leiomyosarcoma (Score: 0.9313);Pleomorphic Liposarcoma (Score: 0.9296);Pleomorphic Rhabdomyosarcoma (Score: 0.9293)
UNCLASSIFIED,Unclassified,1,"Unclassified (Score: 1.0000);Unclassified Renal Cell Carcinoma (Score: 0.9227);Undifferentiated (Score: 0.9048);Myelodysplastic Syndrome, Unclassifiable (Score: 0.9029);Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable (Score: 0.9010)"
KIDNEY RENAL CELL CARCINOMA,Renal Cell Carcinoma,1,"Renal Cell Carcinoma (Score: 0.9917);Kidney Carcinoma (Score: 0.9883);Clear Cell Renal Cell Carcinoma (Score: 0.9710);Kidney Carcinoma, Transitional Cells (Score: 0.9601);Kidney Medullary Carcinoma (Score: 0.9593)"
FUSION- RMS,Fusion-Negative Rhabdomyosarcoma,2,Fusion-Positive Rhabdomyosarcoma (Score: 0.9135);Fusion-Negative Rhabdomyosarcoma (Score: 0.9101);PML-RARA Fusion Protein Expression (Score: 0.8909);Rhabdomyosarcoma (Score: 0.8899);PAX3/FOXO1 Fusion Gene (Score: 0.8757)
"AML WITH INV3Q21.3Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",2,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM (Score: 0.9799);Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM (Score: 0.9799);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9556);Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9509);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9501)"
ENDOMETRIOID ENDOMETRIAL ADENOCARCINOMA,Endometrial Endometrioid Adenocarcinoma,1,Endometrial Endometrioid Adenocarcinoma (Score: 0.9867);Endometrioid Adenocarcinoma (Score: 0.9854);Ovarian Endometrioid Adenocarcinoma (Score: 0.9776);Cervical Endometrioid Adenocarcinoma (Score: 0.9772);Endometrioid Tumor (Score: 0.9649)
MANTLE_CELL_LYMPHOMA,Mantle Cell Lymphoma,1,Mantle Cell Lymphoma (Score: 0.9903);B-Cell Non-Hodgkin Lymphoma (Score: 0.9230);Hodgkin Lymphoma (Score: 0.9167);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9164);T-Cell Non-Hodgkin Lymphoma (Score: 0.9155)
DIAPHRAGM,Diaphragm,1,Diaphragm (Score: 1.0000);Lung (Score: 0.9155);Abdomen (Score: 0.9085);Peritoneum (Score: 0.8978);Stomach (Score: 0.8943)
EMBRYONAL CARCINOMA,Embryonal Carcinoma,1,Embryonal Carcinoma (Score: 1.0000);Embryonal Neoplasm (Score: 0.9776);Embryonal Rhabdomyosarcoma (Score: 0.9495);Central Nervous System Embryonal Tumor (Score: 0.9461);Endometrial Carcinoma (Score: 0.9267)
SECONDARY MYELOFIBROSIS,Secondary Myelofibrosis,1,Secondary Myelofibrosis (Score: 1.0000);Primary Myelofibrosis (Score: 0.9621);Myelofibrosis (Score: 0.9425);Overt Primary Myelofibrosis (Score: 0.9330);Secondary Malignant Neoplasm (Score: 0.9185)
MEDULLARY THYROID CANCER,Thyroid Gland Medullary Carcinoma,1,Thyroid Gland Medullary Carcinoma (Score: 0.9861);Medullary Carcinoma (Score: 0.9665);Breast Medullary Carcinoma (Score: 0.9528);Thyroid Gland Carcinoma (Score: 0.9452);Thyroid Gland Papillary Carcinoma (Score: 0.9411)
MASKED LOW HYPODIPLOID,B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy,3,Hypodiploidy (Score: 0.9357);Masked Near-Haploidy (Score: 0.9206);B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy (Score: 0.9049);Hyperdiploidy (Score: 0.9003);Low (Score: 0.8989)
"CARCINOMA, ANAPLASTIC",Anaplastic Carcinoma,1,Anaplastic Carcinoma (Score: 0.9861);Anaplastic (Score: 0.9597);Thyroid Gland Anaplastic Carcinoma (Score: 0.9579);Anaplastic Lesion (Score: 0.9497);Carcinoma (Score: 0.9487)
BREAST DUCTAL HR-HER2+,Hormone Receptor-Negative Breast Carcinoma<;>HER2/Neu Positive,0,HER2-Positive Breast Carcinoma (Score: 0.9488);Hormone Receptor-Positive Breast Carcinoma (Score: 0.9405);Breast Ductal Carcinoma (Score: 0.9331);HER2/Neu Positive (Score: 0.9312);Hormone Receptor-Negative Breast Carcinoma (Score: 0.9311)
MALIGNANT_MELANOMA,Melanoma,4,Malignant Skin Neoplasm (Score: 0.9489);Malignant Neoplasm (Score: 0.9417);Malignant Myoepithelioma (Score: 0.9397);Melanoma (Score: 0.9397);Malignant Glioma (Score: 0.9308)
TALL CELL,Tall Cell Variant Thyroid Gland Papillary Carcinoma,1,Tall Cell Variant Thyroid Gland Papillary Carcinoma (Score: 0.9235);Giant Cell (Score: 0.8815);Columnar Cell (Score: 0.8798);Cell Line (Score: 0.8731);Transitional Cells (Score: 0.8720)
BREAST_CARCINOMA,Breast Carcinoma,1,Breast Carcinoma (Score: 0.9915);Breast Ductal Carcinoma (Score: 0.9644);Breast Lobular Carcinoma (Score: 0.9589);Carcinoma (Score: 0.9589);Invasive Breast Carcinoma (Score: 0.9573)
UCEC,Endometrial Carcinoma<;>Uterine Corpus Cancer,0,Colon (Score: 0.8914);Urothelial Carcinoma (Score: 0.8835);Colorectal (Score: 0.8802);Bladder Urothelial Carcinoma (Score: 0.8799);Bladder Urothelial Cell (Score: 0.8779)
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,0,Ductal (Score: 0.9327);Breast Ductal Carcinoma (Score: 0.9152);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9130);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9118);Pancreatic Ductal Adenocarcinoma (Score: 0.9091)
HYPERDIPLOID,Hyperdiploidy,1,Hyperdiploidy (Score: 0.9972);Hypodiploidy (Score: 0.9520);B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy (Score: 0.9131);Diploidy (Score: 0.9089);Normal Karyotype (Score: 0.8902)
TC: UNDIFERENTIATED,Thymic Carcinoma<;>Undifferentiated,0,"Differentiated Thyroid Gland Carcinoma (Score: 0.8882);Carcinoma Exhibiting Undifferentiated or Dedifferentiated Features (Score: 0.8774);Poorly Differentiated Thyroid Gland Carcinoma (Score: 0.8764);Medullary Carcinoma, Not Otherwise Specified (Score: 0.8732);Invasive Breast Carcinoma of No Special Type (Score: 0.8727)"
DUCTAL CARCINOMA- MAMMARY GLAND,Breast Ductal Carcinoma,1,Breast Ductal Carcinoma (Score: 0.9815);Breast Ductal Carcinoma In Situ (Score: 0.9608);Breast Carcinoma (Score: 0.9594);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9544);Prostate Ductal Adenocarcinoma (Score: 0.9494)
NBL,Neuroblastoma,1,Neuroblastoma (Score: 0.8996);Blue Nevus (Score: 0.8900);Neurofibroma (Score: 0.8886);Olfactory Neuroblastoma (Score: 0.8806);Cribriform (Score: 0.8774)
RHABDOID TUMOR,Rhabdoid Tumor,1,Rhabdoid Tumor (Score: 1.0000);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9393);Extrarenal Rhabdoid Tumor (Score: 0.9358);Rectal Neuroendocrine Tumor (Score: 0.9118);Pituitary Neuroendocrine Tumor (Score: 0.9112)
SARCOMA LIPO,Liposarcoma,1,Liposarcoma (Score: 0.9621);Sarcoma (Score: 0.9537);Sarcomatoid Carcinoma (Score: 0.9301);Pleomorphic Liposarcoma (Score: 0.9295);Dedifferentiated Liposarcoma (Score: 0.9245)
"B-CELL, NON-HODGKINS, PRIMARY EFFUSION",B-Cell Non-Hodgkin Lymphoma<;>Primary Effusion Lymphoma,0,Primary Effusion Lymphoma (Score: 0.9546);B-Cell Non-Hodgkin Lymphoma (Score: 0.9468);Primary Mediastinal (Thymic) Large B-Cell Lymphoma (Score: 0.9346);Primary Cutaneous T-Cell Non-Hodgkin Lymphoma (Score: 0.9330);T-Cell Non-Hodgkin Lymphoma (Score: 0.9306)
LUNG MUCINOUS ADENOCARCINOMA,Lung Colloid Adenocarcinoma,0,Lung Mucinous Adenocarcinoma (Score: 1.0000);Mucinous Adenocarcinoma (Score: 0.9718);Invasive Lung Mucinous Adenocarcinoma (Score: 0.9718);Lung Non-Mucinous Adenocarcinoma (Score: 0.9690);Colon Mucinous Adenocarcinoma (Score: 0.9565)
ANGIOSARCOMA,Angiosarcoma,1,Angiosarcoma (Score: 1.0000);Breast Angiosarcoma (Score: 0.9774);Chondrosarcoma (Score: 0.9440);Adenosarcoma (Score: 0.9419);Uterine Corpus Adenosarcoma (Score: 0.9102)
PLASMA_CELL_MYELOMA,Plasma Cell Myeloma,1,Plasma Cell Myeloma (Score: 0.9865);Plasma Cell Leukemia (Score: 0.9497);Smoldering Plasma Cell Myeloma (Score: 0.9406);Plasmacytoma (Score: 0.9394);plasmacytoid variant infiltrating bladder urothelial carcinoma (Score: 0.9117)
REGIONAL LYMPH NODE METASTASIS,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,1,"Metastatic Malignant Neoplasm in the Regional Lymph Nodes (Score: 0.9676);Metastatic Malignant Neoplasm in the Lymph Nodes (Score: 0.9458);Lymph Node (Score: 0.9201);Metastasis (Score: 0.9131);Recurrent Disease, Distant Site (Score: 0.9097)"
HIGH-GRADE SEROUS FALLOPIAN TUBE CANCER,Fallopian Tube High Grade Serous Adenocarcinoma,1,Fallopian Tube High Grade Serous Adenocarcinoma (Score: 0.9901);Ovarian High Grade Serous Adenocarcinoma (Score: 0.9590);Ovarian Low Grade Serous Adenocarcinoma (Score: 0.9506);Fallopian Tube Carcinoma (Score: 0.9373);Ovarian Serous Adenocarcinoma (Score: 0.9234)
PAPILLARY_ADENOCARCINOMA,Papillary Adenocarcinoma,1,Papillary Adenocarcinoma (Score: 0.9923);Lung Papillary Adenocarcinoma (Score: 0.9762);Papillary Carcinoma (Score: 0.9643);Gastric Papillary Adenocarcinoma (Score: 0.9640);Digital Papillary Adenocarcinoma (Score: 0.9606)
LUAD,Lung Adenocarcinoma,0,Lung (Score: 0.8812);Lobular (Score: 0.8748);Leukapheresis (Score: 0.8745);Lung Lymphoepithelial Carcinoma (Score: 0.8723);Localized (Score: 0.8668)
GALLBLADDER CANCER,Gallbladder Carcinoma,1,Gallbladder Carcinoma (Score: 0.9812);Gallbladder Adenocarcinoma (Score: 0.9659);Gallbladder Squamous Cell Carcinoma (Score: 0.9478);Gallbladder Neuroendocrine Tumor (Score: 0.9403);Gallbladder Adenosquamous Carcinoma (Score: 0.9380)
DISTANT METASTASIS,Distant Metastasis,1,Distant Metastasis (Score: 1.0000);Metastasis (Score: 0.9423);Metastatic (Score: 0.9362);Distant (Score: 0.9299);Site of Metastasis (Score: 0.9229)
GIANT_CELL,Giant Cell,1,Giant Cell (Score: 0.9818);Giant Cell Tumor (Score: 0.9455);Giant Cell Carcinoma (Score: 0.9415);Giant Cell Tumor of Bone (Score: 0.9101);Germ Cell (Score: 0.8998)
EARLY T-CELL PRECURSOR LYMPHOBLASTIC LEUKEMIA,Early T Acute Lymphoblastic Leukemia,1,Early T Acute Lymphoblastic Leukemia (Score: 0.9702);T Lymphoblastic Leukemia/Lymphoma (Score: 0.9489);T Acute Lymphoblastic Leukemia (Score: 0.9462);Acute Lymphoblastic Leukemia (Score: 0.9358);B Acute Lymphoblastic Leukemia (Score: 0.9339)
"B-CELL, NON-HODGKINS, MEDIASTINAL LARGE",B-Cell Non-Hodgkin Lymphoma<;>Mediastinal Non-Hodgkin Lymphoma<;>Primary Mediastinal (Thymic) Large B-Cell Lymphoma,0,"Primary Mediastinal (Thymic) Large B-Cell Lymphoma (Score: 0.9562);B-Cell Non-Hodgkin Lymphoma (Score: 0.9484);Mediastinal Non-Hodgkin Lymphoma (Score: 0.9461);Mature B-Cell Non-Hodgkin Lymphoma (Score: 0.9407);Malignant Lymphoma, Large Cell, Non-Cleaved (Score: 0.9359)"
PANCREATIC DUCTAL ADENOCARCINOMA,Pancreatic Ductal Adenocarcinoma,1,Pancreatic Ductal Adenocarcinoma (Score: 1.0000);Pancreatic Adenocarcinoma (Score: 0.9773);Prostate Ductal Adenocarcinoma (Score: 0.9736);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9660);Breast Adenocarcinoma (Score: 0.9517)
MUCOSAL,Mucosa,1,Mucosa (Score: 0.9718);Mucosal Melanoma (Score: 0.9516);Buccal Mucosa (Score: 0.9253);Mucosal Melanoma of the Head and Neck (Score: 0.9130);Epithelial (Score: 0.9045)
EMT,Epithelial-to-Mesenchymal Transition,1,Epithelial-to-Mesenchymal Transition (Score: 0.9238);Epithelial (Score: 0.9083);Omentum (Score: 0.8994);Mesenchymal (Score: 0.8961);Epithelioid Cell (Score: 0.8878)
KIDNEY CLEAR CELL RENAL CARCINOMA,Clear Cell Renal Cell Carcinoma,1,"Clear Cell Renal Cell Carcinoma (Score: 0.9901);Renal Cell Carcinoma (Score: 0.9813);Kidney Carcinoma (Score: 0.9770);Clear Cell Papillary Renal Neoplasm (Score: 0.9659);Kidney Carcinoma, Transitional Cells (Score: 0.9502)"
BASAL-LIKE,Basal-Like Breast Carcinoma,3,Basal (Score: 0.9513);Basaloid Cell (Score: 0.9382);Basal-Like Breast Carcinoma (Score: 0.9339);Basal Cell Carcinoma (Score: 0.9156);Head and Neck Basaloid Carcinoma (Score: 0.8978)
EXTRAHEPATIC,Extrahepatic,1,Extrahepatic (Score: 1.0000);Intrahepatic (Score: 0.9207);Extrahepatic Bile Duct Adenocarcinoma (Score: 0.9190);Extracranial (Score: 0.9077);Intrahepatic Cholangiocarcinoma (Score: 0.9053)
LENTIGO MALIGNA MELANOMA,Lentigo Maligna Melanoma,1,Lentigo Maligna Melanoma (Score: 1.0000);Lentigo Maligna (Score: 0.9798);Acral Lentiginous Melanoma (Score: 0.9373);Melanoma (Score: 0.9223);Malignant Skin Neoplasm (Score: 0.9091)
PLEOMORPHIC SARCOMA,Undifferentiated Pleomorphic Sarcoma,3,Pleomorphic Liposarcoma (Score: 0.9703);Pleomorphic Rhabdomyosarcoma (Score: 0.9686);Undifferentiated Pleomorphic Sarcoma (Score: 0.9613);Lung Pleomorphic Carcinoma (Score: 0.9463);Pleomorphic Hepatocellular Carcinoma (Score: 0.9367)
CENTROBLASTIC,Centroblastic Lymphoma,1,Centroblastic Lymphoma (Score: 0.9647);Chondroblastoma (Score: 0.8845);Plasmacytoma (Score: 0.8804);Pancreatoblastoma (Score: 0.8797);Skin Sclerosing/Morphoeic Basal Cell Carcinoma (Score: 0.8713)
PANCREATOBILIARY,Pancreatobiliary Carcinoma,1,Pancreatobiliary Carcinoma (Score: 0.9547);Pancreas (Score: 0.9313);Pancreatoblastoma (Score: 0.9271);Ampulla of Vater Pancreatobiliary Type Adenocarcinoma (Score: 0.8975);Proximal Bile Duct (Score: 0.8966)
