original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
LARGE CELL NEUROENDOCRINE CARCINOMA,Large Cell Neuroendocrine Carcinoma,NCIT:C6875,NCIT
MIXED ACINAR-NEUROENDOCRINE CARCINOMA,Pancreatic Mixed Acinar Carcinoma-Neuroendocrine Carcinoma,NCIT:C6878,NCIT
PDA - MIXED DUCTAL ENDOCRINE CARCINOMA,Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Carcinoma,NCIT:C6879,NCIT
THYMOMA; TYPE AB,Thymoma Type AB,NCIT:C6885,NCIT
TYPE AB,Thymoma Type AB,NCIT:C6885,NCIT
AB,Thymoma Type AB,NCIT:C6885,NCIT
THYMOMA; TYPE B1,Thymoma Type B1,NCIT:C6887,NCIT
TYPE B1THYMOMA,Thymoma Type B1,NCIT:C6887,NCIT
TYPE B1,Thymoma Type B1,NCIT:C6887,NCIT
TYPE B1THYMOMA,Thymoma Type B1,NCIT:C6887,NCIT
B1,Thymoma Type B1,NCIT:C6887,NCIT
THYMOMA; TYPE B2,Thymoma Type B2,NCIT:C6888,NCIT
TYPE B2THYMOMA,Thymoma Type B2,NCIT:C6888,NCIT
TYPE B2,Thymoma Type B2,NCIT:C6888,NCIT
TYPE B2THYMOMA,Thymoma Type B2,NCIT:C6888,NCIT
B2,Thymoma Type B2,NCIT:C6888,NCIT
EPITHELIOID TROPHOBLASTIC TUMOR,Epithelioid Trophoblastic Tumor,NCIT:C6900,NCIT
ATYPICAL TERATOID/RHABDOID TUMOR,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906,NCIT
ATRT,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906,NCIT
ATYPICAL TERATOID RHABDOID TUMOR ATRT,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906,NCIT
PRIMARY EFFUSION LYMPHOMA,Primary Effusion Lymphoma,NCIT:C6915,NCIT
B_CELL_PRIMARY_EFFUSION,Primary Effusion Lymphoma,NCIT:C6915,NCIT
SWEAT GLAND CARCINOMA/APOCRINE ECCRINE CARCINOMA,Sweat Gland Carcinoma,NCIT:C6938,NCIT
ANAPLASTIC OLIGOASTROCYTOMA,Anaplastic Oligoastrocytoma,NCIT:C6959,NCIT
PINEAL PARENCHYMAL TUMOR OF INTERMEDIATE DIFFERENTIATION,Pineal Parenchymal Tumor of Intermediate Differentiation,NCIT:C6967,NCIT
PLEXIFORM SCHWANNOMA,Plexiform Schwannoma,NCIT:C6969,NCIT
MELANOTIC SCHWANNOMA,Melanotic Schwannoma,NCIT:C6970,NCIT
PAPILLARY RENAL CELL CARCINOMA,Papillary Renal Cell Carcinoma,NCIT:C6975,NCIT
KIDNEY PAPILLARY RENAL CELL CARCINOMA,Papillary Renal Cell Carcinoma,NCIT:C6975,NCIT
PAPILLARY KIDNEY RENAL CELL CARCINOMA,Papillary Renal Cell Carcinoma,NCIT:C6975,NCIT
KIRP,Papillary Renal Cell Carcinoma,NCIT:C6975,NCIT
BASALOID PENILE SQUAMOUS CELL CARCINOMA,Penile Basaloid Squamous Cell Carcinoma,NCIT:C6980,NCIT
CNS EMBRYONAL NOS,Central Nervous System Embryonal Tumor,NCIT:C6990,NCIT
CNS GERMINOMA,Central Nervous System Germinoma,NCIT:C7009,NCIT
TRILATERAL,Trilateral Retinoblastoma,NCIT:C7019,NCIT
BARRETT_ASSOCIATED_ADENOCARCINOMA,Barrett Adenocarcinoma,NCIT:C7027,NCIT
MYOFIBROMA,Myofibroma,NCIT:C7052,NCIT
MATURE B-CELL LYMPHOMA,Mature B-Cell Non-Hodgkin Lymphoma,NCIT:C7056,NCIT
MESENCHYMAL NEOPLASM,Mesenchymal Cell Neoplasm,NCIT:C7059,NCIT
LYMPHOID NEOPLASM,Lymphocytic Neoplasm,NCIT:C7065,NCIT
ONCOCYTOMA,Oncocytic Neoplasm,NCIT:C7072,NCIT
ONCOCYTIC,Oncocytic Neoplasm,NCIT:C7072,NCIT
LIVER TUMOR,Liver Neoplasm,NCIT:C7103,NCIT
ENDOMETRIOID,Endometrioid Tumor,NCIT:C7113,NCIT
INTRACHOLECYSTIC PAPILLARY NEOPLASM,Gallbladder Intracholecystic Papillary Neoplasm,NCIT:C7130,NCIT
SMOLDERING MYELOMA,Smoldering Multiple Myeloma,NCIT:C7149,NCIT
ERYTHROLEUKEMIA,Erythroleukemia,NCIT:C7152,NCIT
WELL-DIFFERENTIATED THYROID CANCER,Differentiated Thyroid Gland Carcinoma,NCIT:C7153,NCIT
CLASSICAL HODGKIN LYMPHOMA,Classic Hodgkin Lymphoma,NCIT:C7164,NCIT
REFRACTORY ANEMIA WITH EXCESS BLASTS-2,Myelodysplastic Syndrome/Acute Myeloid Leukemia,NCIT:C7168,NCIT
MDS WITH EXCESS BLASTS-2,Myelodysplastic Syndrome/Acute Myeloid Leukemia,NCIT:C7168,NCIT
PRIMARY DLBCL OF THE CNS,Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System,NCIT:C71720,NCIT
DIFFUSE ASTROCYTOMA,Diffuse Astrocytoma,NCIT:C7173,NCIT
AML WITH RECURRENT GENETIC ABNORMALITIES,Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,NCIT:C7175,NCIT
PRIMARY CUTANEOUS CD30 POSITIVE T-CELL LYMPHOPROLIFERATIVE DISORDERS,Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder,NCIT:C7195,NCIT
BLASTIC PLASMACYTOID DENDRITIC CELL NEOPLASM,Blastic Plasmacytoid Dendritic Cell Neoplasm,NCIT:C7203,NCIT
BASALOID LARGE CELL CARCINOMA OF THE LUNG,Lung Basaloid Large Cell Carcinoma,NCIT:C7266,NCIT
LUNG BRONCHIOLOALVEOLAR CARCINOMA MUCINOUS,Minimally Invasive Lung Mucinous Adenocarcinoma,NCIT:C7268,NCIT
LUNG BRONCHIOLOALVEOLAR CARCINOMA NONMUCINOUS,Minimally Invasive Lung Non-Mucinous Adenocarcinoma,NCIT:C7269,NCIT
"MINIMALLY INVASIVE ADENOCARCINOMA, NON-MUCINOUS 82502",Minimally Invasive Lung Non-Mucinous Adenocarcinoma,NCIT:C7269,NCIT
ACUTE MONOBLASTIC/MONOCYTIC LEUKEMIA,Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
M5,Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 EOSINOPHILIC/MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
M5A,Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M5 MONOCYTIC",Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
ACUTE MONOBLASTIC AND MONOCYTIC LEUKAEMIA,Acute Monoblastic and Monocytic Leukemia,NCIT:C7318,NCIT
TESTICULAR SEMINOMA,Testicular Seminoma,NCIT:C7328,NCIT
TGCT SEM,Testicular Seminoma,NCIT:C7328,NCIT
TGCT_SEMINOMA,Testicular Seminoma,NCIT:C7328,NCIT
GALLBLADDER ADENOSQUAMOUS CARCINOMA,Gallbladder Adenosquamous Carcinoma,NCIT:C7356,NCIT
ADENOSQUAMOUS CARCINOMA OF THE GALLBLADDER,Gallbladder Adenosquamous Carcinoma,NCIT:C7356,NCIT
ADENOSQUAMOUS CARCINOMA OF GALLBLADDER,Gallbladder Adenosquamous Carcinoma,NCIT:C7356,NCIT
ENDOMETRIAL ADENOCARCINOMA,Endometrial Adenocarcinoma,NCIT:C7359,NCIT
ENDOMETRIAL_ADENOCARCINOMA,Endometrial Adenocarcinoma,NCIT:C7359,NCIT
"FOLLICULAR, PAPILLARY",Thyroid Gland Papillary and Follicular Carcinoma,NCIT:C7380,NCIT
"PAPILLARY, FOLLICULAR",Thyroid Gland Papillary and Follicular Carcinoma,NCIT:C7380,NCIT
HAIRY CELL LEUKEMIA,Hairy Cell Leukemia,NCIT:C7402,NCIT
HAIRY_CELL_LEUKEMIA,Hairy Cell Leukemia,NCIT:C7402,NCIT
"PAPILLARY CARCINOMA, DIFFUSE SCLEROSING VARIANT",Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma,NCIT:C7427,NCIT
DIFFUSE SCLEROSING VARIANT,Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma,NCIT:C7427,NCIT
PAPILLARY INFILTRATING DUCTAL CARCINOMA-MAMMARY GLAND; BREAST,Breast Papillary Ductal Carcinoma In Situ with Invasion,NCIT:C7439,NCIT
PAPILLARY INFILTRATING DUCTAL CARCINOMA-MAMMARY GLAND,Breast Papillary Ductal Carcinoma In Situ with Invasion,NCIT:C7439,NCIT
PAPILLOMA,Papilloma,NCIT:C7440,NCIT
ACUTE MYELOMONOCYTIC LEUKEMIA,Acute Myelomonocytic Leukemia,NCIT:C7463,NCIT
M4,Acute Myelomonocytic Leukemia,NCIT:C7463,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M4 MYELOMONOCYTIC",Acute Myelomonocytic Leukemia,NCIT:C7463,NCIT
ACUTE MYELOMONOCYTIC LEUKAEMIA,Acute Myelomonocytic Leukemia,NCIT:C7463,NCIT
ACUTE LEUKEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,NCIT:C7464,NCIT
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,Acute Leukemia of Ambiguous Lineage,NCIT:C7464,NCIT
PURE ERYTHROID LEUKEMIA,Pure Erythroid Leukemia,NCIT:C7467,NCIT
RAEB,Myelodysplastic Syndrome with Excess Blasts,NCIT:C7506,NCIT
MDS WITH EXCESS BLASTS,Myelodysplastic Syndrome with Excess Blasts,NCIT:C7506,NCIT
REFRACTORY ANAEMIA WITH EXCESS BLASTS,Myelodysplastic Syndrome with Excess Blasts,NCIT:C7506,NCIT
ANGIOIMMUNOBLASTIC T-CELL LYMPHOMA,"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type",NCIT:C7528,NCIT
RETINOBLASTOMA,Retinoblastoma,NCIT:C7541,NCIT
RBL,Retinoblastoma,NCIT:C7541,NCIT
OVARIAN SEROUS CARCINOMA,Ovarian Serous Adenocarcinoma,NCIT:C7550,NCIT
SEROUS OVARIAN CANCER,Ovarian Serous Adenocarcinoma,NCIT:C7550,NCIT
SEROUS_CARCINOMA,Ovarian Serous Adenocarcinoma,NCIT:C7550,NCIT
ENDOMETRIAL CARCINOMA,Endometrial Carcinoma,NCIT:C7558,NCIT
ENDOMETRIAL CANCER,Endometrial Carcinoma,NCIT:C7558,NCIT
THYMOMA; TYPE C,Thymus Carcinoma,NCIT:C7569,NCIT
THYMIC CARCINOMA,Thymus Carcinoma,NCIT:C7569,NCIT
TYPE C,Thymus Carcinoma,NCIT:C7569,NCIT
RENAL MEDULLARY CARCINOMA,Kidney Medullary Carcinoma,NCIT:C7572,NCIT
MYOEPITHELIAL CARCINOMA,Malignant Myoepithelioma,NCIT:C7596,NCIT
SOFT TISSUE MYOEPITHELIAL CARCINOMA,Malignant Myoepithelioma,NCIT:C7596,NCIT
AML WITH MYELODYSPLASIA-RELATED CHANGES,"Acute Myeloid Leukemia, Myelodysplasia-Related",NCIT:C7600,NCIT
ACUTE MYELOID LEUKEMIA WITH MYELODYSPLASIA RELATED CHANGES,"Acute Myeloid Leukemia, Myelodysplasia-Related",NCIT:C7600,NCIT
PERITONEAL MESOTHELIOMA,Peritoneal Mesothelial Neoplasm,NCIT:C7633,NCIT
SOLITARY FIBROUS TUMOR,Solitary Fibrous Tumor,NCIT:C7634,NCIT
SOLITARY FIBROUS TUMOR/HEMANGIOPERICYTOMA,Solitary Fibrous Tumor,NCIT:C7634,NCIT
ADAMANTINOMA,Adamantinoma,NCIT:C7644,NCIT
INFILTRATING DUCTAL AND LOBULAR CARCINOMA,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,NCIT:C7688,NCIT
INVASIVE DUCTAL AND LOBULAR CARCINOMA,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,NCIT:C7688,NCIT
CANCER IDENTIFICATION MIDLC,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,NCIT:C7688,NCIT
OVARIAN ADENOCARCINOMA,Ovarian Adenocarcinoma,NCIT:C7700,NCIT
OVARY_ADENOCARCINOMA,Ovarian Adenocarcinoma,NCIT:C7700,NCIT
UVEAL MELANOMA,Uveal Melanoma,NCIT:C7712,NCIT
UVM,Uveal Melanoma,NCIT:C7712,NCIT
UVEAL_MELANOMA,Uveal Melanoma,NCIT:C7712,NCIT
MELANOMA UVEAL,Uveal Melanoma,NCIT:C7712,NCIT
UM,Uveal Melanoma,NCIT:C7712,NCIT
APPENDICEAL ADENOCARCINOMA,Appendix Adenocarcinoma,NCIT:C7718,NCIT
APAD,Appendix Adenocarcinoma,NCIT:C7718,NCIT
"CARCINOMA, GINGIVAL",Gingival Carcinoma,NCIT:C7721,NCIT
SMALL BOWEL CANCER,Small Intestinal Carcinoma,NCIT:C7724,NCIT
SMALL INTESTINAL CARCINOMA,Small Intestinal Carcinoma,NCIT:C7724,NCIT
SBS,Small Intestinal Carcinoma,NCIT:C7724,NCIT
SMALL BOWEL CARCINOMA,Small Intestinal Carcinoma,NCIT:C7724,NCIT
PENILE SQUAMOUS CELL CARCINOMA,Penile Squamous Cell Carcinoma,NCIT:C7729,NCIT
SMALL BOWEL ADENOCARCINOMA,Small Intestinal Adenocarcinoma,NCIT:C7888,NCIT
DUODENAL ADENOCARCINOMA,Duodenal Adenocarcinoma,NCIT:C7889,NCIT
DUODENAL_ADENOCARCINOMA,Duodenal Adenocarcinoma,NCIT:C7889,NCIT
HEPATOBILIARY CANCER,Liver Carcinoma,NCIT:C7927,NCIT
"LIVER CANCER, NOS",Liver Carcinoma,NCIT:C7927,NCIT
"BILIARY TRACT CANCER, NOS",Liver Carcinoma,NCIT:C7927,NCIT
LIVER_CANCER,Liver Carcinoma,NCIT:C7927,NCIT
BREAST INVASIVE LOBULAR CARCINOMA,Invasive Breast Lobular Carcinoma,NCIT:C7950,NCIT
INFILTRATING LOBULAR CARCINOMA,Invasive Breast Lobular Carcinoma,NCIT:C7950,NCIT
CANCER IDENTIFICATION ILC,Invasive Breast Lobular Carcinoma,NCIT:C7950,NCIT
COLON MUCINOUS ADENOCARCINOMA,Colon Mucinous Adenocarcinoma,NCIT:C7966,NCIT
RECTAL MUCINOUS ADENOCARCINOMA,Rectal Mucinous Adenocarcinoma,NCIT:C7973,NCIT
EXTRAHEPATIC CHOLANGIOCARCINOMA,Extrahepatic Bile Duct Adenocarcinoma,NCIT:C7975,NCIT
CHOLANGIO EXTRAHEPATIC,Extrahepatic Bile Duct Adenocarcinoma,NCIT:C7975,NCIT
CHOL EXTRA,Extrahepatic Bile Duct Adenocarcinoma,NCIT:C7975,NCIT
CHOLANGIOCARCINOMA; DISTAL,Distal Cholangiocarcinoma,NCIT:C7976,NCIT
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,NCIT:C7977,NCIT
ENDOMETRIOID OVARIAN CANCER,Ovarian Endometrioid Adenocarcinoma,NCIT:C7979,NCIT
"CYSTADENOCARCINOMA, CLEAR CELL",Ovarian Clear Cell Cystadenocarcinoma,NCIT:C7980,NCIT
VAGINAL ADENOCARCINOMA,Vaginal Adenocarcinoma,NCIT:C7981,NCIT
SMALL CELL CARCINOMA OF THE CERVIX,Cervical Small Cell Neuroendocrine Carcinoma,NCIT:C7982,NCIT
CERVICAL_SMALL_CELL,Cervical Small Cell Neuroendocrine Carcinoma,NCIT:C7982,NCIT
EPITHELIOID MESOTHELIOMA,Epithelioid Mesothelioma,NCIT:C7985,NCIT
"SQUAMOUS CELL CARCINOMA, SALIVARY GLAND",Salivary Gland Squamous Cell Carcinoma,NCIT:C7991,NCIT
THYMOMA; TYPE B3,Thymoma Type B3,NCIT:C7997,NCIT
TYPE B3,Thymoma Type B3,NCIT:C7997,NCIT
B3,Thymoma Type B3,NCIT:C7997,NCIT
SALIVARY ADENOCARCINOMA,Salivary Gland Adenocarcinoma,NCIT:C8021,NCIT
SALIVARY ADENOCARCINOMA NOS,Salivary Gland Adenocarcinoma,NCIT:C8021,NCIT
UTERINE CLEAR CELL CARCINOMA,Endometrial Clear Cell Adenocarcinoma,NCIT:C8028,NCIT
"HIGH-GRADE B-CELL LYMPHOMA, NOS","High Grade B-Cell Lymphoma, Not Otherwise Specified",NCIT:C80291,NCIT
WALDENSTROM MACROGLOBULINEMIA,Waldenstrom Macroglobulinemia,NCIT:C80307,NCIT
MONOCLONAL B-CELL LYMPHOCYTOSIS,Monoclonal B-Cell Lymphocytosis,NCIT:C80310,NCIT
B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA WITH T9;22Q34.1;Q11.2,B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1,NCIT:C80331,NCIT
B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA WITH T9;22Q34.1;Q11.2;BCR-ABL1,B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1,NCIT:C80331,NCIT
PH-LIKEALL,B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1,NCIT:C80331,NCIT
LOW HYPODIPLOID,Hypodiploid B Lymphoblastic Leukemia/Lymphoma,NCIT:C80338,NCIT
MASKED LOW HYPODIPLOID,Hypodiploid B Lymphoblastic Leukemia/Lymphoma,NCIT:C80338,NCIT
FOLLICULAR THYROID CANCER,Thyroid Gland Follicular Carcinoma,NCIT:C8054,NCIT
FOLLICULAR CARCINOMA,Thyroid Gland Follicular Carcinoma,NCIT:C8054,NCIT
FOLLICULAR THYROID CARCINOMA,Thyroid Gland Follicular Carcinoma,NCIT:C8054,NCIT
FOLLICULAR_CARCINOMA,Thyroid Gland Follicular Carcinoma,NCIT:C8054,NCIT
"CARCINOMA, FOLLICULAR",Thyroid Gland Follicular Carcinoma,NCIT:C8054,NCIT
DYSGERMINOMA,Ovarian Dysgerminoma,NCIT:C8106,NCIT
OROPHARYNX SQUAMOUS CELL CARCINOMA,Oropharyngeal Squamous Cell Carcinoma,NCIT:C8181,NCIT
"MIXED PHENOTYPE ACUTE LEUKEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid",NCIT:C82212,NCIT
"MIXED PHENOTYPE ACUTE LEUKEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid",NCIT:C82213,NCIT
"MIXED PHENOTYPE ACUTE LEUKAEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid",NCIT:C82213,NCIT
NATURAL KILLER CELL LYMPHOBLASTIC LEUKEMIA/LYMPHOMA,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma,NCIT:C82217,NCIT
NATURAL KILLER NK CELL LYMPHOBLASTIC LEUKEMIA/LYMPHOMA,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma,NCIT:C82217,NCIT
NKC,Natural Killer Cell Lymphoblastic Leukemia/Lymphoma,NCIT:C82217,NCIT
"MLL TRANSLOCATION, T9;11",Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,NCIT:C82403,NCIT
AML WITH T9;11P22;Q23;  MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,NCIT:C82403,NCIT
AML WITH T9;11P22;Q23; MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,NCIT:C82403,NCIT
AML WITH T6:9P23:Q34.1; DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,NCIT:C82423,NCIT
AML WITH T6;9P23;Q34.1;DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,NCIT:C82423,NCIT
AML WITH T6;9P23;Q34; DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,NCIT:C82423,NCIT
"AML WITH INV3Q21.3;Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",NCIT:C82426,NCIT
AML WITH INV3Q21;Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",NCIT:C82426,NCIT
"AML WITH INV3Q21.3Q26.2 OR T3;3Q21.3;Q26.2; GATA2, MECOM","Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",NCIT:C82426,NCIT
AML WITH INV3Q21Q26.2 OR T3;3Q21;Q26.2; RPN1-EVI1,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",NCIT:C82426,NCIT
AML WITH MUTATED NPM1,Acute Myeloid Leukemia with NPM1 Mutation,NCIT:C82431,NCIT
AML WITH MUTATED CEBPA,Acute Myeloid Leukemia with CEBPA Mutation,NCIT:C82433,NCIT
MDS WITH SINGLE LINEAGE DYSPLASIA,"Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia",NCIT:C82591,NCIT
MDS/MPN WITH RING SIDEROBLASTS AND THROMBOCYTOSIS,"Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified",NCIT:C82616,NCIT
RARS-T,"Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified",NCIT:C82616,NCIT
PANCREATIC ADENOCARCINOMA,Pancreatic Adenocarcinoma,NCIT:C8294,NCIT
PANCREAS-ADENOCARCINOMA-OTHER SUBTYPE,Pancreatic Adenocarcinoma,NCIT:C8294,NCIT
PAAD,Pancreatic Adenocarcinoma,NCIT:C8294,NCIT
DESMOPLASTIC SMALL ROUND CELL TUMOR,Desmoplastic Small Round Cell Tumor,NCIT:C8300,NCIT
DESMOPLASTIC SMALL-ROUND-CELL TUMOR,Desmoplastic Small Round Cell Tumor,NCIT:C8300,NCIT
SMALL ROUND BLUE CELL TUMOR,Desmoplastic Small Round Cell Tumor,NCIT:C8300,NCIT
MALIGNANT_PAPILLARY_SEROUS_ADENOCARCINOMA,Papillary Serous Cystadenocarcinoma,NCIT:C8377,NCIT
GIANT CELL 'MFH' / UNDIFFERENTIATED PLEOMORPHIC SARCOMA WITH GIANT CELLS,Undifferentiated Pleomorphic Sarcoma with Osteoclast-Like Giant Cells,NCIT:C8380,NCIT
DIFFUSE MALIGNANT MESOTHELIOMA - NOS,Diffuse Malignant Mesothelioma,NCIT:C8420,NCIT
MASTOCYTOSIS,Mastocytosis,NCIT:C84269,NCIT
AML WITH MINIMAL DIFFERENTIATION,Acute Myeloid Leukemia with Minimal Differentiation,NCIT:C8460,NCIT
M0,Acute Myeloid Leukemia with Minimal Differentiation,NCIT:C8460,NCIT
"CHRONIC LYMPHOBLASTIC LEUKEMIA CLL, B-CELL",Chronic Lymphoblastic Lymphoma,NCIT:C8502,NCIT
TUMOR PRIMARY,Primary Neoplasm,NCIT:C8509,NCIT
PRIMARY RESIDUAL,Primary Neoplasm,NCIT:C8509,NCIT
PRIMARY TUMOUR,Primary Neoplasm,NCIT:C8509,NCIT
LOCALLY ADVANCED,Locally Advanced Malignant Neoplasm,NCIT:C8524,NCIT
OCULAR MELANOMA,Ocular Melanoma,NCIT:C8562,NCIT
OPTIC PATHWAY GLIOMA,Visual Pathway Glioma,NCIT:C8567,NCIT
REFRACTORY CYTOPENIA WITH MULTILINEAGE DYSPLASIA,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",NCIT:C8574,NCIT
RCMD,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",NCIT:C8574,NCIT
MDS WITH MULTILINEAGE DYSPLASIA,"Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia",NCIT:C8574,NCIT
TGCT,Testicular Germ Cell Tumor,NCIT:C8591,NCIT
ACUTE_LYMPHOBLASTIC_B_CELL_LEUKAEMIA,B Acute Lymphoblastic Leukemia,NCIT:C8644,NCIT
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, B-CELL",B Acute Lymphoblastic Leukemia,NCIT:C8644,NCIT
B-CELL_ALL,B Acute Lymphoblastic Leukemia,NCIT:C8644,NCIT
B-CELL ACUTE LYMPHOID LEUKEMIA,B Acute Lymphoblastic Leukemia,NCIT:C8644,NCIT
BCP-ALL,B Acute Lymphoblastic Leukemia,NCIT:C8644,NCIT
MDS-U,"Myelodysplastic Syndrome, Unclassifiable",NCIT:C8648,NCIT
"MYELODYSPLASTIC SYNDROME, UNCLASSIFIABLE","Myelodysplastic Syndrome, Unclassifiable",NCIT:C8648,NCIT
"MDS, UNCLASSIFIABLE","Myelodysplastic Syndrome, Unclassifiable",NCIT:C8648,NCIT
T-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA,T Lymphoblastic Leukemia/Lymphoma,NCIT:C8694,NCIT
TLL,T Lymphoblastic Leukemia/Lymphoma,NCIT:C8694,NCIT
PRE-T,T Lymphoblastic Leukemia/Lymphoma,NCIT:C8694,NCIT
ENDOMETRIAL SQUAMOUS CELL CARCINOMA,Endometrial Squamous Cell Carcinoma,NCIT:C8719,NCIT
ENDOMETRIAL_SQUAMOUS,Endometrial Squamous Cell Carcinoma,NCIT:C8719,NCIT
EXTRASKELETAL OSTEOSARCOMA,Extraskeletal Osteosarcoma,NCIT:C8810,NCIT
DIFFUSE LARGE B-CELL LYMPHOMA,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DLBCL,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DIFFUSE LARGE B-CELL LYMPHOMA DLBCL,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
"DIFFUSE LARGE B-CELL LYMPHOMA, NOS",Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DIFFUSE_LARGE_B_CELL_LYMPHOMA,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DIFFUSE LARGE B-CELL LYMPHOMA DLBCL NOS ANY ANATOMIC SITE NODAL OR EXTRANODAL,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DIFFSE LARGE B-CELL LYMPHOMA,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
LYMPHOMA_DLBCL,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
DLBC,Diffuse Large B-Cell Lymphoma,NCIT:C8851,NCIT
NODAL MARGINAL ZONE LYMPHOMA,Nodal Marginal Zone Lymphoma,NCIT:C8863,NCIT
ACUTE ERYTHROID LEUKEMIA,Acute Erythroid Leukemia,NCIT:C8923,NCIT
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,NCIT:C8923,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M6 ERYTHROLEUKEMIA",Acute Erythroid Leukemia,NCIT:C8923,NCIT
M6,Acute Erythroid Leukemia,NCIT:C8923,NCIT
B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA,B Lymphoblastic Leukemia/Lymphoma,NCIT:C8936,NCIT
BLL,B Lymphoblastic Leukemia/Lymphoma,NCIT:C8936,NCIT
SYNOVIAL,Synovial Neoplasm,NCIT:C8964,NCIT
